root	gloss_head	matched_covered_word	gloss_zipf	inv_tier	prod	gloss
havenimpost	anchorage	harbor	3.42	tail	1	anchorage, harbor dues, port charges, port dues
invers	inverse	reverse	3.42	core	6	inverse, inverted, reverse, reversed
kanzon	ballad	song	3.42	extended	2	ballad, chanson, song
konform	compliant	conforming	3.42	core	7	compliant, conforming, (well-)fitting
lanari	merlin	stone	3.42	tail	1	merlin, stone falcon
vivrimed	livelihood	way	3.42	tail	1	livelihood, way of making a living
glitvoj	rink	slide	3.41	tail	1	rink, slide
latent	dormant	hidden	3.41	tail	1	dormant, hidden, latent
tors	torso	trunk	3.41	tail	1	torso, trunk (of body)
trivial	commonplace	course	3.41	tail	1	commonplace, course, vulgar, paltry, trifling, trivial
vulgar	coarse	common	3.41	core	5	coarse, common, vulgar, underbred, rude, everyday, proletarian
ekstravaganc	extravagant	high-flown	3.4	extended	2	extravagant, high-flown
diverskultur	multicultural	diverse	3.39	tail	1	multicultural, diverse
entjer	integer	integral	3.39	tail	1	integer, integral
heteroseks	heterosexual	straight	3.39	tail	1	heterosexual, straight
klasifik	classify	sort	3.39	extended	2	to classify, sort
maksim	maxim	principle	3.39	tail	1	maxim, principle
sentenc	maxim	wise	3.39	tail	1	maxim, proverb, wise saying
naturspirit	elemental	nature	3.38	tail	1	elemental, nature spirit
neatendit	abrupt	unexpected	3.38	tail	1	abrupt, unexpected
neŭtral	impartial	neutral	3.38	core	4	impartial, neutral
pum	cougar	mountain	3.38	tail	1	cougar, mountain lion, puma
puŝveturil	barrow	hand-barrow	3.38	tail	1	barrow, hand-barrow, wheelbarrow
sankci	authorize	permit	3.38	extended	2	to authorize, permit, sanction
tombomontet	barrow	mound	3.38	tail	1	barrow, burial mound, grave mound, tumulus
adher	adhesive	limit	3.37	core	5	adhesive, (point) of adherence, (point) of closure, limit (point), sticky
alteniĝ	adhesive	sticky	3.37	tail	1	adhesive, sticky
enskribiĝ	enlist	sign	3.37	tail	1	to enlist, sign up
forĵet	discard	throw	3.37	core	3	to discard, throw away
kolos	colossal	huge	3.37	tail	1	colossal, huge
naskiĝdom	birthplace	childhood	3.37	tail	1	birthplace, childhood home
vivodaŭr	lifespan	lifetime	3.37	tail	1	lifespan, lifetime
ĉiovendej	bazaar	department	3.37	tail	1	bazaar, department store
kojot	coyote	wolf	3.36	tail	1	coyote, prairie wolf
kromdiagonal	diagonal	off-diagonal	3.36	tail	1	diagonal, off-diagonal, superdiagonal, subdiagonal, off-diagonal
manlibr	cookbook	guide	3.36	extended	2	cookbook, guide, manual, handbook
mondcivitan	cosmopolitan	world	3.36	extended	2	cosmopolitan, world citizen
suprenstrek	diagonal	slash	3.36	extended	2	diagonal, slash, forward slash
amant	affectionate	loving	3.35	core	4	affectionate, loving
kuf	bonnet	cap	3.35	tail	1	bonnet, cap
postament	pedestal	stand	3.35	tail	1	pedestal, stand
purras	pedigree	pure-bred	3.35	tail	1	pedigree, pure-bred
rent	annuity	income	3.35	core	3	annuity, dividend, income, return, revenue
vekiĝint	aroused	awake	3.35	tail	1	aroused, awake
alligitec	adherence	attachment	3.34	tail	1	adherence, attachment
klink	latch	spring	3.34	tail	1	latch, spring bolt
kuirforn	cooker	stove	3.34	tail	1	cooker, stove
tenden	ligament	string	3.34	tail	1	ligament, sinew, string, tendon
ĉielir	ascension	assumption	3.34	tail	1	ascension, assumption
lament	grieve	mourn	3.33	core	4	to grieve, mourn, lament, wail
pagadmon	dun	payment	3.33	tail	1	to dun, dun for payment
trafikcirkl	roundabout	traffic	3.33	extended	2	roundabout, traffic circle
trafikrond	roundabout	traffic	3.33	extended	2	roundabout, traffic circle
ligenz	binder	binding	3.32	tail	1	binder, binding agent
aler	penthouse	shed	3.31	extended	2	penthouse, shed
antaŭtegment	penthouse	shed	3.31	tail	1	penthouse, shed
ciklogir	chopper	helicopter	3.31	tail	1	chopper, helicopter
kapkusen	bolster	pillow	3.31	tail	1	bolster, pillow
kusinet	bolster	bush	3.31	tail	1	bolster, bush
ŝed	penthouse	shed	3.31	tail	1	penthouse, shed
komposterar	typo	error	3.3	tail	1	typo, typographical error
pliampleksig	broaden	expand	3.3	tail	1	to broaden, expand
posteul	descendant	successor	3.3	core	3	descendant, offspring, successor
