root	gloss_head	gloss_zipf	suggested_tier	inv_tier	prod	gloss
violonĉel	cello	3.29	3	extended	2	cello, violoncello
degrad	degrade	3.28	3	core	3	to degrade, demote, downgrade
difuz	diffuse	3.28	3	extended	2	diffuse
dign	dignified	3.28	3	core	4	dignified
epitom	epitome	3.28	3	extended	2	epitome, abridgment
fervor	ardent	3.28	3	core	6	ardent, fervent, full of zeal, zealous
grotesk	grotesque	3.28	3	extended	2	grotesque, ludicrous
jor	skid	3.28	3	core	3	to skid
titr	assay	3.28	3	extended	2	to assay, titrate
topografi	topography	3.28	3	extended	2	topography
bonodorfum	incense	3.27	3	core	4	incense
impuls	impulsive	3.27	3	extended	2	impulsive
lucid	lucid	3.27	3	extended	2	lucid
parazit	parasitic	3.27	3	extended	2	parasitic
sekt	sectarian	3.27	3	core	4	sectarian
antaŭplan	foreground	3.26	3	extended	2	foreground
heliks	helix	3.26	3	extended	2	helix
letargi	apathy	3.26	3	extended	2	apathy, drowsiness, inertness, lethargy, stupor, torpidity
orb	orb	3.26	3	extended	2	orb
sociologi	sociological	3.26	3	extended	2	sociological
variol	smallpox	3.26	3	extended	2	smallpox, variola
alkal	alkaline	3.25	3	extended	2	alkaline
alun	alum	3.25	3	core	3	alum
arteri	arterial	3.25	3	extended	2	arterial
balzam	balm	3.25	3	core	6	balm, balsam, balmy, balsamic
inhal	inhale	3.25	3	core	4	to inhale
klaĉgazet	tabloid	3.25	3	extended	2	tabloid
saŭn	sauna	3.25	3	extended	2	sauna
vekri	lament	3.25	3	extended	2	to lament, wail, yammer
ŝvitban	sauna	3.25	3	extended	2	sauna
antaŭfinal	semifinal	3.24	3	extended	2	semifinal
duonpatr	stepfather	3.24	3	extended	2	stepfather
insid	insidious	3.24	3	core	4	insidious, treacherous
kirlovent	whirlwind	3.24	3	extended	2	whirlwind
konscienc	conscientious	3.24	3	extended	2	conscientious, scrupulous, faithful, upright, honorable
orl	hem	3.24	3	extended	2	to hem
patriark	patriarchal	3.24	3	core	3	patriarchal
