root	gloss_head	gloss_zipf	suggested_tier	inv_tier	prod	gloss
depeŝ	dispatch	3.76	3	extended	2	to dispatch
erik	heath	3.76	3	extended	2	heath, heather (plant)
fotograf	photographic	3.76	3	core	5	photographic
neŭr	neural	3.76	3	extended	2	neural
arke	ark	3.75	3	extended	2	ark
kunfand	merge	3.75	3	core	4	merge
nan	dwarf	3.75	3	extended	2	dwarf, midget
arog	arrogant	3.74	3	core	4	arrogant
ceramik	ceramic	3.74	3	core	3	ceramic
fold	groove	3.74	3	extended	2	to groove, slot
torĉ	torch	3.74	3	extended	2	torch
bankrot	bankrupt	3.73	3	core	4	bankrupt
prokur	proxy	3.73	3	core	3	proxy
miniatur	miniature	3.72	3	extended	2	miniature
mot	motto	3.72	3	extended	2	motto
radioaktiv	radioactive	3.72	3	core	3	radioactive
samseksam	homosexual	3.72	3	extended	2	homosexual, gay, queer
samseksemul	homosexual	3.72	3	extended	2	homosexual
digest	digest	3.71	3	core	5	to digest
kaldron	boiler	3.71	3	core	4	boiler, cauldron, kettle
lingvoscienc	linguistic	3.71	3	extended	2	linguistic
makro	macro	3.71	3	extended	2	macro
spontan	spontaneous	3.71	3	extended	2	spontaneous
spontane	spontaneous	3.71	3	extended	2	spontaneous
vertic	apex	3.71	3	extended	2	apex, node, vertex
ambaŭseks	bisexual	3.7	3	core	3	bisexual
cinam	cinnamon	3.7	3	extended	2	cinnamon
deleg	delegate	3.7	3	extended	2	to delegate
end	compulsory	3.7	3	core	3	to be compulsory
konfederaci	confederate	3.7	3	extended	2	to confederate
metilernant	apprentice	3.7	3	core	3	apprentice
monarĥ	monarch	3.69	3	core	4	monarch
mustard	mustard	3.69	3	extended	2	mustard
tindr	tinder	3.69	3	extended	2	tinder, punk, touchwood
arkeologi	archaeological	3.68	3	extended	2	archaeological, archeological
arĥeologi	archaeological	3.68	3	extended	2	archaeological, archeological
ekslojaliĝ	defect	3.68	3	extended	2	to defect
klon	clone	3.68	3	core	4	to clone
provlud	rehearsal	3.68	3	extended	2	rehearsal
rigor	rigorous	3.68	3	extended	2	rigorous, stringent
skeptik	skeptical	3.68	3	core	3	skeptical
unuanim	unanimous	3.68	3	extended	2	unanimous
inaŭgur	inaugural	3.67	3	extended	2	inaugural
kosmetik	cosmetics	3.67	3	extended	2	cosmetics
propriet	proprietary	3.67	3	core	3	proprietary
akuŝ	maternity	3.66	3	core	7	maternity
ordon	imperative	3.66	3	core	3	imperative
periferi	peripheral	3.66	3	extended	2	peripheral
duel	duel	3.65	3	extended	2	to duel
nekompetent	incompetent	3.65	3	extended	2	incompetent
zink	zinc	3.65	3	core	3	zinc, zincic
dubl	dub	3.64	3	core	5	to dub
informpet	query	3.64	3	extended	2	query
kamel	camel	3.64	3	extended	2	camel
skarlat	scarlet	3.64	3	extended	2	scarlet
taktbaston	baton	3.64	3	extended	2	baton
vinagr	vinegar	3.64	3	extended	2	vinegar
aneks	accessory	3.63	3	core	5	accessory
brank	gill	3.63	3	core	3	gill
faks	fax	3.63	3	core	4	to fax
gag	gag	3.63	3	extended	2	gag
kaŝmemor	cache	3.63	3	extended	2	cache, caching
kunkulp	accessory	3.63	3	core	3	accessory
neaktiv	inactive	3.63	3	extended	2	inactive
telefaks	fax	3.63	3	core	3	to fax
varp	warp	3.63	3	extended	2	to warp
viz	endorse	3.63	3	core	6	to endorse
alp	alpine	3.62	3	core	7	alpine
ate	atheist	3.62	3	core	4	atheist
densig	compressed	3.62	3	core	3	compressed, compression, condensed (font)
fekund	fertile	3.62	3	core	5	fertile
fruktodon	fertile	3.62	3	extended	2	fertile, fruitful
karavan	caravan	3.62	3	extended	2	caravan
kiras	armored	3.62	3	extended	2	armored
kojn	wedge	3.62	3	extended	2	to wedge
mezkamp	midfield	3.62	3	extended	2	midfield
meĉ	fuse	3.62	3	extended	2	fuse, wick
rektangul	rectangular	3.62	3	extended	2	rectangular
aloj	alloy	3.61	3	extended	2	to alloy
fiziologi	physiology	3.61	3	extended	2	physiology
fraŭd	fraudulent	3.61	3	extended	2	fraudulent
handikap	handicap	3.61	3	core	4	to handicap
lantern	lantern	3.61	3	extended	2	lantern
rasapartig	apartheid	3.61	3	extended	2	apartheid, segregation
substantiv	noun	3.61	3	extended	2	noun, substantive
erudici	scholarly	3.6	3	extended	2	scholarly
kast	caste	3.6	3	core	4	caste
konsul	consul	3.6	3	core	3	consul
nominal	nominal	3.6	3	extended	2	nominal
produktiv	prolific	3.6	3	extended	2	prolific
prosper	prosperous	3.6	3	core	6	prosperous
cinik	cynical	3.59	3	core	5	cynical
fetiĉ	fetish	3.59	3	core	3	fetish
furz	fart	3.59	3	extended	2	to fart
geometri	geometric	3.59	3	extended	2	geometric
krucmilit	crusade	3.59	3	extended	2	crusade
nereal	unreal	3.59	3	extended	2	unreal
redund	redundant	3.59	3	extended	2	redundant
adolesk	adolescent	3.58	3	core	7	adolescent
amovendist	prostitute	3.58	3	extended	2	prostitute, whore, gigolo
ananas	pineapple	3.58	3	extended	2	pineapple
braĝ	charcoal	3.58	3	extended	2	charcoal
dikt	dictate	3.58	3	core	4	to dictate
elektromagnet	electromagnetic	3.58	3	extended	2	electromagnetic
lignokarb	charcoal	3.58	3	extended	2	charcoal
orf	orphan	3.58	3	core	5	orphan
prostitu	prostitute	3.58	3	core	6	to prostitute
cigar	cigar	3.57	3	core	4	cigar
kased	cartridge	3.57	3	extended	2	cartridge, cassette
manskrib	handwriting	3.57	3	core	3	handwriting
jugland	walnut	3.56	3	extended	2	walnut
lukr	lucrative	3.56	3	core	4	lucrative
plurmedi	multimedia	3.56	3	extended	2	multimedia
porcelan	porcelain	3.56	3	extended	2	porcelain
psalm	psalm	3.56	3	core	3	psalm
skizofreni	schizophrenia	3.56	3	extended	2	schizophrenia
embusk	ambush	3.55	3	core	3	to ambush
enboat	onboard	3.55	3	extended	2	onboard
karate	karate	3.55	3	extended	2	karate
mesi	messiah	3.55	3	extended	2	messiah
plural	plural	3.55	3	core	3	plural
bufed	buffet	3.54	3	core	4	buffet
klaresprim	articulate	3.54	3	extended	2	articulate
konfes	admittedly	3.54	3	core	9	admittedly
neŭrologi	neurological	3.54	3	extended	2	neurological
stimul	stimulating	3.54	3	core	3	stimulating, stimulative
vojmontr	pioneering	3.54	3	extended	2	pioneering
duonkonduk	semiconductor	3.53	3	core	3	semiconductor
evaku	evacuate	3.53	3	extended	2	to evacuate
interfer	interfering	3.53	3	extended	2	interfering
manovr	maneuver	3.53	3	extended	2	to maneuver
mono	mono	3.53	3	extended	2	mono
balsalon	ballroom	3.52	3	extended	2	ballroom
civiliz	civilized	3.52	3	core	5	civilized
dulingv	bilingual	3.52	3	core	3	bilingual
