root	bucket	covered_tiers	inv_tier	prod	gloss_head	gloss_zipf	suggested_tier	matched_word	gloss
a	covered_T1_3	2	tail	1		0.0			ow, ouch, oh
abak	obscure_root		tail	1	abacus	2.65			abacus, ball frame, counting frame, calculating frame, chart
abakteri	obscure_root		tail	1	abacterial	0.0			abacterial
abakti	obscure_root		tail	1	abactio	0.0			abactio
abandon	candidate_gap		extended	2	relinquish	3.12	3		to relinquish
abasid	obscure_root		tail	1	abbasid	0.0			Abbasid
abat	obscure_root		core	6	abbatial	0.0			abbatial
abatis	obscure_root		tail	1	barricade	0.0			barricade of trees or branches, abatis
abatland	obscure_root		tail	1	abbacy	1.32			abbacy
abazi	obscure_root		tail	1	abasic	0.0			abasic, abatic
abaĵur	obscure_root		tail	1	lampshade	2.27			lampshade
abces	obscure_root		tail	1	abscess	2.81			abscess
abderan	obscure_root		tail	1	fool	4.29			fool
abdik	covered_T1_3	2	core	4		0.0			abdication
abdomen	obscure_root		tail	1	abdominal	3.58			abdominal
abdukci	obscure_root		tail	1	abducent	0.0			abducent
abdukt	obscure_root		extended	2	abduct	2.74			to abduct
abduktor	obscure_root		tail	1	abductor	2.46			abductor
abek	obscure_root		tail	1	aback	2.99			aback
abel	covered_T1_3	1/2	core	6		0.0			Abel’s, Abelian, commutative (group); related to bees
abelbred	obscure_root		core	3	beekeeping	2.66			beekeeping
abeldom	obscure_root		tail	1	apiary	2.01			apiary
abeled	obscure_root		tail	1	apidae	0.0			Apidae
abelkest	obscure_root		tail	1		0.0			beehive (box-style)
abelkoloni	obscure_root		tail	1	bee	0.0			bee colony
abelkorb	obscure_root		tail	1		0.0			beehive (basket-style)
abelkultur	obscure_root		core	3	beekeeping	2.66			beekeeping
abelmanĝul	obscure_root		tail	1	bee-eater	0.0			bee-eater
abelreĝin	obscure_root		tail	1	queen	0.0			queen bee
abelsvarm	obscure_root		tail	1	swarm	0.0			swarm of bees
abelujoform	obscure_root		tail	1	beehive-shaped	0.0			beehive-shaped
abelvaks	obscure_root		tail	1	beeswax	2.67			beeswax
abelvask	obscure_root		tail	1	beeswax	2.67			beeswax
abelvenen	obscure_root		tail	1	bee	0.0			bee poison
abelĉel	obscure_root		extended	2	bee	0.0			bee cell
abelŝed	obscure_root		tail	1	bee-shed	0.0			bee-shed
aber	obscure_root		tail	1	aberrate	0.0			to aberrate
aberaci	obscure_root		tail	1	aberrant	2.69			aberrant, deviant
aberdenan	obscure_root		tail	1	aberdonian	0.0			Aberdonian
abevili	obscure_root		tail	1	abbeville	0.0			Abbeville
abi	obscure_root		core	4	deal	5.32			deal
abiarbar	obscure_root		tail	1	fir	0.0			fir forest, fir wood
abidarm	obscure_root		tail	1	abhidarma	0.0			abhidarma
abietin	obscure_root		tail	1	abietin	0.0			abietin
abietinacid	obscure_root		tail	1	abietin	0.0			abietin acid
abifrukt	obscure_root		tail	1	fir	0.0			fir cone
abikonus	obscure_root		tail	1	fir	0.0			fir cone
abioarbar	obscure_root		tail	1	fir	0.0			fir forest, fir wood
abiofrukt	obscure_root		tail	1	fir	0.0			fir cone
abiogenez	obscure_root		tail	1	abiogenesis	1.64			abiogenesis
abiokonus	obscure_root		tail	1	fir	0.0			fir cone
abiopice	obscure_root		tail	1	norway	0.0			Norway Spruce tree
abiopingl	obscure_root		tail	1	fir-needle	0.0			fir-needle
abiotik	obscure_root		tail	1	abiotic	2.37			abiotic
abiotrofi	obscure_root		tail	1	abiotrophy	0.0			abiotrophy
abioz	obscure_root		tail	1	abiosis	0.0			abiosis
abipice	obscure_root		tail	1	norway	0.0			Norway Spruce tree
abipingl	obscure_root		tail	1	fir-needle	0.0			fir-needle
abisen	obscure_root		tail	1	abyssinian	0.0			Abyssinian, Ethiopian
abism	obscure_root		extended	2	abysmal	2.92			abysmal
abiturient	obscure_root		extended	2	baccalaureate	2.89			baccalaureate; related to high school graduation
abiturientekzamen	obscure_root		tail	1		0.0			(high school) exit examination
abiŝag	obscure_root		tail	1	abishag	0.0			Abishag
ablaci	obscure_root		tail	1	ablative	2.31			ablative
ablakt	obscure_root		extended	2	wean	2.72			to wean
ablaktaci	obscure_root		extended	2	ablactation	0.0			ablactation
ablativ	obscure_root		tail	1	ablative	2.31			ablative
ablaŭt	obscure_root		tail	1	ablaut	1.38			ablaut, apophony
ablefari	obscure_root		tail	1	ablepharia	0.0			ablepharia, ablephary
abluci	obscure_root		tail	1	ablution	2.11			ablution
abnegaci	obscure_root		extended	2	abnegation	2.2			abnegation
abnorm	obscure_root		core	3	abnormal	3.71			abnormal
aboc	covered_T1_3	2	tail	1		0.0			ABC, alphabet, basics, fundamentals, primer, rudiments
aboclibr	obscure_root		tail	1	book	5.43			book of ABC’s
abocolernant	obscure_root		tail	1	abecedarian	1.32			abecedarian
abocolibr	obscure_root		tail	1	book	5.43			book of ABC’s
abol	candidate_gap		core	5	abolish	3.48	3		to abolish, abrogate
abolici	candidate_gap		core	3	abolish	3.48	3		to abolish, abrogate
abolicionism	obscure_root		tail	1	abolitionism	2.03			abolitionism
abolicionist	obscure_root		tail	1	abolitionist	2.74			abolitionist
abomas	obscure_root		tail	1	rennet-stomach	0.0			rennet-stomach
abomen	obscure_root		core	12	abominable	2.85			abominable, dismal, dreary, hideous, horrible, nasty, detestable, loathsome, revolting
abon	obscure_root		core	10	subscription-related	0.0			subscription-related
abonbilet	obscure_root		tail	1	commutation	0.0			commutation ticket, season ticket
abonflu	obscure_root		tail	1		0.0			feed (e.g. RSS)
abongrup	obscure_root		tail	1	subscription	0.0			subscription group
abonkart	obscure_root		tail	1	commutation	0.0			commutation ticket, season ticket
abonkost	obscure_root		tail	1	subscription	0.0			subscription price
abonpag	obscure_root		tail	1	subscription	0.0			subscription payment
abonprez	obscure_root		tail	1	subscription	0.0			subscription price
abonrilat	obscure_root		tail	1	syndicated	3.05			syndicated, subscription
aboral	obscure_root		tail	1	aboral	1.46			aboral
aborigen	candidate_gap		extended	2	aboriginal	3.78	3		aboriginal
abort	obscure_root		core	12	abortive	2.67			abortive
abortrimed	obscure_root		tail	1	abortifacient	1.64			abortifacient
abrad	candidate_gap		extended	2	abrasive	3.22	3		abrasive
abraham	obscure_root		tail	1	abrahamic	0.0			Abrahamic, Abrahamitic
abrakadabr	covered_T1_3	2	tail	1		0.0			abracadabra
abraki	obscure_root		tail	1	abrachius	0.0			abrachius
abrazi	obscure_root		core	3	related	0.0			related to an abrasion
abreviaci	obscure_root		tail	1	abbreviation	3.14			abbreviation
abrikot	obscure_root		extended	2	related	0.0			related to apricots
abrikotarb	obscure_root		tail	1	apricot	0.0			apricot tree
abrikotbrand	obscure_root		tail	1	apricot	0.0			apricot brandy
abrikotflor	obscure_root		tail	1	apricot	0.0			apricot blossom
abrikotfoli	obscure_root		tail	1	apricot	0.0			apricot leaf
abrog	obscure_root		tail	1	abrogate	2.08			to abrogate
abrogaci	obscure_root		extended	2	abrogative	0.0			abrogative
abrotan	obscure_root		tail	1		0.0			southernwood (Artemisia abrotanum)
abrupt	candidate_gap		core	4	abrupt	3.38	3		abrupt
absced	obscure_root		tail	1	discharge	0.0			to discharge pus
absces	obscure_root		tail	1	abscessed	1.61			abscessed
abscis	obscure_root		tail	1	abscissa	1.54			abscissa, x-coordinate
absejl	obscure_root		tail	1	abseil	1.89			to abseil
absid	obscure_root		extended	2	apsidal	1.61			apsidal
absint	obscure_root		core	3	absinthic	0.0			absinthic, absinthinian, abstemious, abstinthial
absintlikvor	obscure_root		tail	1	absinth	1.26			absinth
absolut	covered_T1_3	2	core	5		0.0			absolute, stark, unconditional
absolv	covered_T1_3	2	core	3		0.0			absolutory, absolvent, absolving
absorb	obscure_root		core	6		0.0			absorbent (for a person’s attention)
absorbitec	obscure_root		tail	1	bemusement	1.86			bemusement, immersion, preoccupation
absorbospektr	obscure_root		tail	1	absorption	0.0			absorption spectrum
abstemi	obscure_root		extended	2	abstemious	1.74			abstemious
abstin	obscure_root		core	6	abstemious	1.74			abstemious
abstinenc	shade_mismatch		extended	2	abstinence	3.18		total	abstinence, teetotalism, total abstinence
abstrakt	obscure_root		core	6	abstract	4.14			abstract
absurd	candidate_gap		core	3	absurd	3.95	3		absurd
abulej	obscure_root		tail	1	wild	0.0			wild beehive
abuli	obscure_root		tail	1	lack	0.0			lack of will
abund	covered_T1_3	2	core	6		0.0			abundant, affluent, ample, copious, plentiful, profuse, rich, bountiful
abundeg	obscure_root		extended	2	superabundant	1.45			superabundant
abundokorn	obscure_root		tail	1	cornucopia	2.56			cornucopia
abutil	obscure_root		tail	1		0.0			abutilon (genus of broadleaf evergreens)
abutment	obscure_root		tail	1	supporting	0.0			supporting wall, abutment
abvolt	obscure_root		tail	1	abvolt	0.0			abvolt
abĥaz	obscure_root		tail	1	abkhazian	0.0			Abkhazian
abĵur	obscure_root		extended	2	abjure	1.82			to abjure, abnegate
acefal	obscure_root		tail	1	acephalous	0.0			acephalous
acenaften	obscure_root		tail	1	acenaphthene	0.0			acenaphthene
acer	covered_T1_3	2	tail	1		0.0			maple, of a maple
acerac	obscure_root		tail	1	maple	0.0			maple family
acerb	obscure_root		core	3	acerbic	2.31			acerbic, acid, acrid, harsh, sour, tart
acerbranĉ	obscure_root		tail	1	maple	0.0			maple branch, branch of a maple tree
acersirop	obscure_root		tail	1	maple	0.0			maple syrup
acersuker	obscure_root		tail	1	maple	0.0			maple sugar
acet	obscure_root		core	4	acetic	2.65			acetic
acetabl	obscure_root		tail	1	acetabulum	1.78			acetabulum
acetabul	obscure_root		tail	1	acetabular	1.68			acetabular
acetacid	obscure_root		tail	1	acetic	0.0			acetic acid
acetaldehid	obscure_root		tail	1	acetaldehyde	2.18			acetaldehyde
acetbakteri	obscure_root		tail	1	acetobacteria	0.0			acetobacteria
acetil	obscure_root		tail	1	acetyl	2.72			acetyl
acetilen	obscure_root		tail	1	acetylene	2.44			acetylene
acetiliz	obscure_root		tail	1	acetylate	0.0			to acetylate
acetilkolin	obscure_root		tail	1	acetylcolene	0.0			acetylcolene
acetilsalicilat	obscure_root		tail	1	acetylsalicylate	0.0			acetylsalicylate
acetilsalicilatacid	obscure_root		tail	1	acetylsalicylic	0.0			acetylsalicylic acid
acetometr	obscure_root		tail	1	acetometer	0.0			acetometer, acetimeter
aceton	obscure_root		extended	2	acetonic	0.0			acetonic
acetonemi	obscure_root		tail	1	acetonemia	0.0			acetonemia
acetonuri	obscure_root		tail	1		0.0			acetonuria (excessive acetone in the urine)
acid	covered_T1_3	1/2	core	10		0.0			acerbic, acid, sour, tart, acidic
acidadolĉ	obscure_root		tail	1	bittersweet	3.24			bittersweet
acidban	obscure_root		tail	1	acid	0.0			acid bath
acidetig	obscure_root		tail	1	make	0.0			to make sour
acidgrad	obscure_root		tail	1	acidity	3.2			acidity
acidimetr	obscure_root		tail	1	acidometer	0.0			acidometer
acidimetri	obscure_root		tail	1	acidimetry	0.0			acidimetry
acidimun	obscure_root		tail	1	acid-proof	0.0			acid-proof
acidiz	obscure_root		tail	1	acidulate	0.0			to acidulate
acidkrem	obscure_root		tail	1	sour	0.0			sour cream
acidmezurad	obscure_root		tail	1	acidimetry	0.0			acidimetry
acidmord	obscure_root		tail	1	acid	0.0			to acid burn
acidnombr	obscure_root		tail	1	acid	0.0			acid value, acid number
acidofar	obscure_root		tail	1	acid-forming	0.0			acid-forming
acidometr	obscure_root		tail	1	meter	0.0			meter for acid
acidometri	obscure_root		tail	1	acidimetry	0.0			acidimetry
acidoz	obscure_root		tail	1	acidotic	1.15			acidotic
acidpluv	obscure_root		tail	1	acid	0.0			acid rain
acidrezist	obscure_root		tail	1	acid-fast	0.0			acid-fast, acid-proof, acid-resistant
acidrostaĵ	obscure_root		tail	1		0.0			sauerbraten (sour roast)
acidsal	obscure_root		tail	1	acid	0.0			acid salt
acidsukeraĵ	obscure_root		tail	1	acid	0.0			acid drop
acikl	obscure_root		tail	1	acyclic	2.16			acyclic
acin	obscure_root		tail	1	acinar	1.66			acinar, acinose, acinous, aciniform
acinoform	obscure_root		tail	1	aciniform	0.0			aciniform
acinoz	obscure_root		tail	1	acinar	1.66			acinar, acinose, acinous, aciniform
acipenser	obscure_root		tail	1	sturgeon	3.34			sturgeon
acipensered	obscure_root		tail	1		0.0			Acipenseridae (a family of fish)
acipenserform	obscure_root		tail	1		0.0			Acipenseriformes (order of fish)
activ	obscure_root		tail	1	asset	4.23			asset
ad	covered_T1_3	2	tail	1		0.0			continual
adalbert	obscure_root		tail	1	adalbert	0.0			Adalbert
adam	obscure_root		extended	2	adamic	0.0			Adamic, Adamical
adamantin	obscure_root		tail	1	enamel	3.35			enamel
adamask	obscure_root		tail	1	damask	2.49			damask
adampom	obscure_root		tail	1	adam's	0.0			Adam's apple
adamter	obscure_root		tail	1	ruddle	1.41			ruddle
adapt	covered_T1_3	2/3	core	15		0.0			adaptive
adaptilpelil	obscure_root		tail	1	adapter	0.0			adapter driver
adaptometri	obscure_root		tail	1	adaptometry	0.0			adaptometry
adar	obscure_root		tail	1	adar	0.0			Adar
adasism	obscure_root		tail	1	suffix	0.0			suffix rhyme, unskilled rhyming using suffixes (like –ad-)
adaĝ	obscure_root		extended	2	adagio	2.5			adagio
adekvat	obscure_root		extended	2	adequate	4.05			adequate, appropriate, sufficient
aden	candidate_gap		core	4	gland	3.38	3		gland, ade-
adenektomi	obscure_root		tail	1	adenectomy	0.0			adenectomy
adenoid	obscure_root		core	4	adenoidal	1.29			adenoidal
adenokarcinom	obscure_root		tail	1	adenocarcinoma	2.47			adenocarcinoma
adenom	obscure_root		tail	1	adenoma	2.13			adenoma
adenopati	obscure_root		tail	1	adenopathy	1.05			adenopathy
adenovirus	obscure_root		tail	1	adenoviral	1.42			adenoviral
adenozil	obscure_root		tail	1	adenozyl	0.0			adenozyl
adenozin	obscure_root		tail	1	adenozine	0.0			adenozine
adenpati	obscure_root		tail	1	adenpathy	0.0			adenpathy
adept	obscure_root		extended	2	adapt	3.98			to adapt, fit
adher	shade_mismatch		core	5	adhesive	3.37		limit	adhesive, (point) of adherence, (point) of closure, limit (point), sticky
adherenz	obscure_root		tail	1	adhesive	3.37			adhesive
adherigaĵ	obscure_root		tail	1	adhesive	3.37			adhesive
adhez	obscure_root		tail	1	adhere	3.57			to adhere
adiabat	obscure_root		tail	1	adiabatic	2.4			adiabatic
adiant	obscure_root		tail	1	maidenhair	0.0			maidenhair fern
adiaŭ	covered_T1_3	1/2	tail	1		0.0			adieu, farewell, bye, goodbye
adiaŭbanked	obscure_root		tail	1	farewell	0.0			farewell banquet
adiaŭdeklam	obscure_root		tail	1	farewell	0.0			farewell speech
adiaŭdir	obscure_root		tail	1	say	0.0			to say goodbye
adiaŭkis	obscure_root		tail	1	kiss	0.0			to kiss goodbye
adic	obscure_root		tail	1	add	5.09			to add
adici	candidate_gap		core	4	additive	3.33	3		additive
adicimaŝin	obscure_root		tail	1	adding	0.0			adding machine
adige	obscure_root		tail	1	adyghe	0.0			Adyghe
adinami	obscure_root		tail	1	adynamic	0.0			adynamic
adip	obscure_root		extended	2	adipose	2.76			adipose
adipocir	obscure_root		tail	1	adipocere	1.14			adipocere
adipogenez	obscure_root		tail	1	adipogenesis	1.17			adipogenesis
adipoz	obscure_root		tail	1	adipose	2.76			adipose
adipoĉel	obscure_root		tail	1	adipocyte	1.64			adipocyte, adipose cell
adison	obscure_root		tail	1	addisonian	0.0			Addisonian
adit	obscure_root		tail	1	adytum	1.01			adytum
adjekt	obscure_root		tail	1	adjunct	3.3			adjunct, adverbial
adjektiv	obscure_root		extended	2	adjectival	2.14			adjectival
adjudant	obscure_root		tail	1	adjutant	3.12			adjutant, aide-de-camp
adjudik	obscure_root		tail	1	tender	4.09			by tender
adjunkt	obscure_root		tail	1	adjunct	3.3			adjunct
adjuraci	obscure_root		tail	1	adjuration	0.0			adjuration
adjutant	candidate_gap		extended	2	adjutant	3.12	3		adjutant, aide
adminikl	obscure_root		tail	1	adminiculum	0.0			adminiculum
adminisraci	obscure_root		tail	1	administrative	4.45			administrative
administr	covered_T1_3	2/3	core	10		0.0			administrative, back-end
administraci	covered_T1_3	2	extended	2		0.0			administrative
administrator	obscure_root		tail	1	administrator	4.07			administrator, manager
admir	covered_T1_3	2	core	7		0.0			admiring
admiral	candidate_gap		core	5	admiral	4.0	2		of an admiral, of an admiralty
admiraledzin	obscure_root		tail	1	admiral's	0.0			admiral's wife
admiralitat	obscure_root		tail	1	admiralty	3.44			admiralty
admiralŝip	obscure_root		tail	1	admiral	4.0			admiral
admitanc	obscure_root		tail	1	admittance	2.8			admittance, reciprocal impedance
admon	obscure_root		extended	2	admonitory	1.29			admonitory
admonleter	obscure_root		tail	1	dunning	0.0			dunning letter, (debt) collection letter
adob	obscure_root		tail	1	adobe	3.53			adobe
adolesk	candidate_gap		core	7	adolescent	3.58	3		adolescent
adolt	obscure_root		core	3	adult	4.8			of an adult
adonid	obscure_root		tail	1	eye	5.02			pheasant’s eye
adopt	covered_T1_3	2	core	9		0.0			adoptive
ador	covered_T1_3	2	core	9		0.0			adoring
adorkliniĝ	obscure_root		tail	1	prostrate	0.0			to prostrate oneself, bow in worship
adoroad	obscure_root		tail	1	worship	4.29			worship
adrenal	obscure_root		extended	2	adrenal	0.0			adrenal gland, suprarenal gland
adres	covered_T1_3	1/2	core	13		0.0			to address (a letter, person), send (by mail)
adresadmanier	obscure_root		tail	1	addressing	4.06			addressing, addressing mode
adresaparat	obscure_root		tail	1	addressing	0.0			addressing machine, addressograph
adresatribu	obscure_root		tail	1	address	0.0			address assignment
adresbret	obscure_root		tail	1	address	0.0			address bar
adresbus	obscure_root		tail	1	address	0.0			address bus
adresetiked	obscure_root		tail	1	address	0.0			address label
adresfunkci	obscure_root		tail	1	address	0.0			address mapping
adresgrup	obscure_root		tail	1	address	0.0			address pool
adreskamp	obscure_root		tail	1	address	0.0			address field
adreskart	obscure_root		tail	1	dispatch	0.0			dispatch note
adreslibr	obscure_root		tail	1	directory	3.93			directory
adresmaŝin	obscure_root		tail	1	addressing	0.0			addressing machine
adresmetod	obscure_root		tail	1	addressing	0.0			addressing technique
adresmontril	obscure_root		tail	1		0.0			pointer (variable)
adresnivel	obscure_root		tail	1	location	0.0			location counter
adresobus	obscure_root		tail	1	address	0.0			address bus
adresospac	obscure_root		tail	1	address	0.0			address space
adrespart	obscure_root		tail	1	address	0.0			address field
adrespresil	obscure_root		tail	1	addressing	0.0			addressing machine
adresrang	obscure_root		tail	1	indirection	0.0			indirection level
adresreĝistr	obscure_root		tail	1	address	0.0			address register
adresspac	obscure_root		tail	1	address	0.0			address space
adressubstitu	obscure_root		tail	1	indirect	0.0			indirect addressing
adrestraduk	obscure_root		tail	1	address	0.0			address translation
adrestrovil	obscure_root		tail	1	resolver	2.0			resolver
adreszon	obscure_root		tail	1	address	0.0			address field
adresŝanĝ	obscure_root		tail	1	change	0.0			change of address
adriatik	obscure_root		tail	1	adriatic	0.0			Adriatic
adsorb	obscure_root		core	8	adsorbent	2.0			adsorbent, adsorptive
adstring	obscure_root		core	3	acerbic	2.31			acerbic, acid, astringent, harsh, tart
adstringantaĵ	obscure_root		tail	1	astringent	2.51			astringent
adukci	obscure_root		tail	1	adducent	0.0			adducent
adukt	obscure_root		tail	1	adduct	2.02			to adduct
aduktor	obscure_root		tail	1	adductor	2.3			adductor
adul	obscure_root		core	4	adulate	0.0			to adulate
adulaci	obscure_root		tail	1	adulation	2.6			adulation
adulari	obscure_root		tail	1	adulation	2.6			adulation; moonstone
adult	obscure_root		core	13	adulterous	2.54			adulterous
advaŭs	obscure_root		tail	1	advowson	1.94			advowson
advekci	obscure_root		tail	1	advection	1.92			advection
advent	obscure_root		core	3	adventual	0.0			Adventual
adventic	obscure_root		tail	1	adventitious	1.96			adventitious
adventiv	obscure_root		extended	2	adventive	1.11			adventive
adverb	obscure_root		core	3	adverbial	2.13			adverbial
advers	candidate_gap		extended	2	adverse	3.89	3		adverse
advokat	covered_T1_3	2	core	6		0.0			advocatory, of a barrister, of a lawyer
adz	obscure_root		tail	1	adze	1.78			adze
aed	obscure_root		tail	1	aoidos	0.0			aoidos
aer	covered_T1_3	1/2	core	6		0.0			aerial, overhead, airborne
aeramas	obscure_root		tail	1	air	0.0			air mass
aerarme	obscure_root		tail	1	air-force	0.0			air-force
aeratak	obscure_root		tail	1	air	0.0			air raid, air strike
aerban	obscure_root		tail	1	air	0.0			air bath
aerbatal	obscure_root		tail	1	air	0.0			air battle
aerbaz	obscure_root		tail	1	air	0.0			air base
aerbezon	obscure_root		tail	1	need	0.0			in need of air
aerbezonant	obscure_root		tail	1	need	0.0			in need of air
aerblov	obscure_root		extended	2	draft	4.61			draft, gust of air
aerboat	obscure_root		tail	1	airboat	1.82			airboat
aerbrems	obscure_root		tail	1	air	0.0			air brake
aerbros	obscure_root		tail	1	airbrush	2.66			to airbrush
aerbus	obscure_root		tail	1	airbus	3.33			airbus
aercirkulig	obscure_root		tail	1	air	0.0			air circulation
aerdefend	obscure_root		tail	1	air-defense	0.0			air-defense, anti-aircraft
aerdinamik	obscure_root		tail	1	aerodynamics	2.93			aerodynamics
aerdukt	obscure_root		tail	1	air	0.0			air duct
aereldukt	obscure_root		tail	1	air	0.0			air outlet
aerellas	obscure_root		tail	1	air-release	0.0			air-release, bleeding
aeremi	obscure_root		tail	1	air	0.0			air embolism
aerendukt	obscure_root		tail	1	air	0.0			air intake
aereskadr	obscure_root		tail	1	air	0.0			air squadron
aerfend	obscure_root		tail	1		0.0			air pocket (aviation)
aerfiltril	obscure_root		tail	1	air	0.0			air filter
aerflot	obscure_root		tail	1	air	0.0			air fleet
aerflu	obscure_root		tail	1	air	0.0			air flow
aerfot	obscure_root		tail	1	air	0.0			air view
aerfotografad	obscure_root		tail	1	aerial	0.0			aerial photography
aerfotomap	obscure_root		tail	1	aerial	0.0			aerial map
aerfreŝigil	obscure_root		tail	1	air	0.0			air freshener
aerfusil	obscure_root		tail	1	air	0.0			air rifle
aerhaven	obscure_root		tail	1	aerodrome	2.54			aerodrome, airport, airdrome
aerhelic	obscure_root		tail	1	airscrew	1.18			airscrew
aerimun	obscure_root		tail	1	air	0.0			air tight
aerizolit	obscure_root		tail	1	anaerobic	2.97			anaerobic
aerkamer	obscure_root		tail	1	air	0.0			air chamber
aerkastel	obscure_root		tail	1	castle	0.0			castle in the sky
aerkav	obscure_root		tail	1	air	0.0			air pocket
aerkern	obscure_root		tail	1		0.0			air-bearing (as an air-bearing spindle)
aerklap	obscure_root		tail	1	air	0.0			air valve, air vent
aerklimatiz	obscure_root		tail	1	air-condition	0.0			to air-condition
aerklimatizit	obscure_root		tail	1	air-conditioned	0.0			air-conditioned
aerkluz	obscure_root		tail	1	airlock	2.63			airlock
aerkompresor	obscure_root		tail	1	air	0.0			air compressor
aerkondiĉigil	obscure_root		tail	1	air	0.0			air conditioner
aerkondukil	obscure_root		tail	1	air	0.0			air duct
aerkoridor	obscure_root		tail	1	air	0.0			air corridor, air lane
aerkusen	obscure_root		tail	1	air	0.0			air cushion
aerlini	obscure_root		tail	1	airline	4.04			airline
aerlit	obscure_root		tail	1	air	0.0			air mattress
aermalpurig	obscure_root		tail	1	air	0.0			air pollution
aermalsan	obscure_root		tail	1	airsick	1.1			airsick
aermap	obscure_root		tail	1	aerial	0.0			aerial map
aermas	obscure_root		tail	1	air	0.0			air mass
aermatrac	obscure_root		tail	1	air	0.0			air mattress
aermeĥanikist	obscure_root		tail	1	flight	0.0			flight engineer, flight mechanic
aernavigad	obscure_root		tail	1	aeronautics	3.1			aeronautics, aviation
aernetoler	obscure_root		tail	1	air-intolerant	0.0			air-intolerant
aernetolerant	obscure_root		tail	1	air-intolerant	0.0			air-intolerant
aerobatik	obscure_root		tail	1	aerobatic	2.17			aerobatic
aerobi	candidate_gap		extended	2	aerobic	3.19	3		aerobic, aerobiotic
aerobik	obscure_root		tail	1	aerobatics	2.05			aerobatics
aerobiologi	obscure_root		tail	1	aerobiology	0.0			aerobiology
aerobus	obscure_root		tail	1	airbus	3.33			airbus
aerodefend	obscure_root		tail	1	air	0.0			air defense
aerodin	obscure_root		tail	1	aerodyne	1.38			aerodyne
aerodinamik	obscure_root		tail	1	aerodynamic	3.19			aerodynamic, streamlined
aerodrom	obscure_root		tail	1	aerodrome	2.54			aerodrome, airdrome, airfield
aerofagi	obscure_root		tail	1	aerophagy	0.0			aerophagy
aerofizik	obscure_root		tail	1	aerophysics	0.0			aerophysics
aeroflot	obscure_root		tail	1	air	0.0			air fleet
aerofobi	obscure_root		tail	1	aerophobia	0.0			aerophobia
aerofor	obscure_root		tail	1	aerophore	0.0			aerophore
aerofot	obscure_root		tail	1	air	0.0			air view
aerofotogrametri	obscure_root		tail	1	aerial	0.0			aerial survey
aerofram	obscure_root		tail	1	airframe	2.69			airframe
aeroglit	obscure_root		tail	1	having	0.0			having the property of gliding on air
aerografi	obscure_root		tail	1	aerography	0.0			aerography
aerogram	obscure_root		tail	1	aerogram	0.0			aerogram, air letter
aerohaven	obscure_root		tail	1	airport	4.84			airport
aerokondukil	obscure_root		tail	1	air	0.0			air duct
aerolit	obscure_root		tail	1	aerolitic	0.0			aerolitic
aerolitologi	obscure_root		tail	1	aerolithology	0.0			aerolithology
aerolog	obscure_root		tail	1	aerologist	0.0			aerologist
aerologi	obscure_root		extended	2	aerologic	0.0			aerologic
aerological	obscure_root		tail	1	aerologic	0.0			aerologic
aeromanci	obscure_root		tail	1	aeromancy	0.0			aeromancy, austromancy
aerometr	obscure_root		tail	1	aerometer	0.0			aerometer
aerometri	obscure_root		tail	1	aerometric	0.0			aerometric
aeronavigad	obscure_root		tail	1	aeronautics	3.1			aeronautics
aeronaŭt	obscure_root		tail	1	aeronautic	1.99			aeronautic, aeronautical
aeronaŭtik	obscure_root		tail	1	aeronautic	1.99			aeronautic, aeronautical
aeropafil	obscure_root		tail	1	blowgun	1.62			blowgun
aeroplan	obscure_root		tail	1	airplane	3.92			airplane, plane
aeroport	obscure_root		tail	1	aeriferous	0.0			aeriferous
aeropoŝt	obscure_root		tail	1	air	0.0			air mail, airmail
aeroprem	obscure_root		tail	1	air	0.0			air pressure
aeropumpil	obscure_root		tail	1	air	0.0			air pump
aeroskop	obscure_root		tail	1	aeroscope	0.0			aeroscope
aerosol	obscure_root		tail	1	aerosol	3.03			aerosol
aerospac	obscure_root		tail	1	air	0.0			air space
aerostat	obscure_root		tail	1		0.0			(air) balloon, aerostat
aerostatik	obscure_root		tail	1	aerostatic	1.08			aerostatic
aeroterapi	obscure_root		tail	1	aerotherapeutics	0.0			aerotherapeutics
aeroĉel	obscure_root		tail	1	aerocyst	0.0			aerocyst, air cell
aerpafil	obscure_root		tail	1	air	0.0			air gun
aerpejzaĝ	obscure_root		tail	1	airscape	0.0			airscape
aerpejzaĵ	obscure_root		tail	1	aerial	0.0			aerial view
aerpenik	obscure_root		tail	1	airbrush	2.66			airbrush
aerpilkeg	obscure_root		tail	1		0.0			balloon (plaything)
aerpirat	obscure_root		tail	1	skyjacker	0.0			skyjacker
aerpistol	obscure_root		tail	1	airgun	1.94			airgun
aerplan	obscure_root		tail	1	airplane	3.92			airplane
aerpoluci	obscure_root		tail	1	air-pollution	0.0			air-pollution
aerpompil	obscure_root		tail	1	air	0.0			air pump
aerpont	obscure_root		tail	1	air	0.0			air bridge, airlift
aerport	obscure_root		extended	2	airlift	2.87			to airlift
aerpoŝt	obscure_root		tail	1	via	0.0			via air mail
aerpoŝtmark	obscure_root		tail	1	air	0.0			air mail stamp
aerprem	obscure_root		tail	1	air	0.0			air pressure
aerproviz	obscure_root		tail	1	air	0.0			air supply
aerpumpil	obscure_root		tail	1	air	0.0			air pump
aerput	obscure_root		tail	1	air	0.0			air well
aerrapid	obscure_root		tail	1	airspeed	2.61			airspeed
