root	bucket	covered_tiers	inv_tier	prod	gloss_head	gloss_zipf	suggested_tier	matched_word	gloss
duonbot	obscure_root		tail	1	buskin	1.29			buskin
duonbrun	obscure_root		tail	1	brownish	3.13			brownish
duonbuŝ	obscure_root		tail	1	inarticulately	1.18			inarticulately
duoncirkl	obscure_root		tail	1	semi-circle	0.0			semi-circle
duondi	obscure_root		extended	2	demigod	2.44			of a demigod
duondiametr	obscure_root		tail	1	radius	3.86			radius
duondik	obscure_root		tail	1		0.0			semi bold (font)
duondir	obscure_root		tail	1	allude	2.7			to allude, hint, refer to, insinuate, suggest
duondorm	obscure_root		tail	1	dozy	1.99			dozy, drowsy
duondut	obscure_root		tail	1	semitone	1.93			semitone
duoneben	obscure_root		tail	1	half	0.0			half plane
duonebri	obscure_root		tail	1	tipsy	2.87			tipsy
duonesvenig	obscure_root		tail	1	daze	2.89			to daze, stun
duonetaĝ	obscure_root		tail	1	mezzanine	2.81			mezzanine
duonfal	obscure_root		tail	1	stumble	3.42			to stumble
duonferm	obscure_root		tail	1		0.0			to half close (eyes)
duonfermit	obscure_root		tail	1	ajar	2.57			ajar
duonfil	obscure_root		extended	2	stepson	2.85			stepson
duonfrat	obscure_root		extended	2	half-brother	0.0			half-brother
duonfrenez	obscure_root		tail	1	half-crazy	0.0			half-crazy
duonglob	obscure_root		tail	1	hemisphere	3.69			hemisphere
duongras	obscure_root		tail	1	marbled	2.66			marbled, semi bold (font)
duongrup	obscure_root		tail	1	semigroup	2.05			semigroup
duonhisit	obscure_root		tail	1	half-raised	0.0			half-raised, half-staff (flag)
duonhor	obscure_root		tail	1	half	0.0			for half an hour
duoninsul	obscure_root		tail	1	peninsula	4.03			peninsula
duonjar	obscure_root		tail	1	biannual	2.46			biannual
duonkapon	obscure_root		tail	1	capon	2.19			capon
duonkod	obscure_root		tail	1	byte-code	0.0			byte-code
duonkompren	obscure_root		tail	1	begin	0.0			to begin to understand, half-understand
duonkonduk	candidate_gap		core	3	semiconductor	3.53	3		semiconductor
duonkonduktant	obscure_root		tail	1	semiconductor	3.53			semiconductor
duonkonduktil	obscure_root		tail	1	semiconductor	3.53			semiconductor
duonkorp	obscure_root		tail	1	semi-acoustic	0.0			semi-acoustic
duonlev	obscure_root		tail	1	tilt	3.66			to tilt
duonlinear	obscure_root		tail	1	antilinear	0.0			antilinear, semilinear
duonlum	obscure_root		tail	1	dim	3.62			dim
duonmaldik	obscure_root		tail	1		0.0			semi light (font)
duonmalgras	obscure_root		tail	1		0.0			semi light (font)
duonmalplen	obscure_root		tail	1	half-empty	0.0			half-empty
duonmaraton	obscure_root		tail	1	half	0.0			half marathon
duonmatur	obscure_root		tail	1	half-baked	0.0			half-baked
duonmejl	obscure_root		tail	1	half	0.0			half mile
duonmonat	obscure_root		tail	1	fortnight	3.41			fortnight
duonmondum	obscure_root		tail	1	demimonde	1.39			demimonde
duonmort	obscure_root		tail	1	half-dead	0.0			half-dead
duonnorm	obscure_root		tail	1	pseudonorm	0.0			pseudonorm, semi-norm
duonoper	obscure_root		tail	1	musical	4.51			musical, comic opera
duonpalt	obscure_root		tail	1	short	0.0			short coat
duonpatr	candidate_gap		extended	2	stepfather	3.24	3		stepfather
duonpermeabl	obscure_root		tail	1	semi-permeable	0.0			semi-permeable
duonplen	obscure_root		tail	1	half-full	0.0			half-full
duonplezurig	obscure_root		tail	1	half-pleasing	0.0			half-pleasing
duonposedant	obscure_root		tail	1	half	0.0			half owner
duonpret	obscure_root		tail	1	almost	0.0			almost ready
duonrekt	obscure_root		tail	1	half-line	0.0			half-line, ray
duonridet	obscure_root		tail	1	half-smile	0.0			half-smile
duonring	obscure_root		tail	1	semiring	1.04			semiring
duonrond	obscure_root		tail	1	semicircle	2.27			semicircle
duonsfer	obscure_root		tail	1	hemispheric	2.24			hemispheric, hemispherical
duonsonĝ	obscure_root		tail	1	half-dreaming	0.0			half-dreaming
duonsumil	obscure_root		tail	1	half-adder	0.0			half-adder
duonsurd	obscure_root		tail	1	half-deaf	0.0			half-deaf
duontuŝ	obscure_root		tail	1	touch	0.0			to touch lightly
duonvoj	obscure_root		tail	1	halfway	4.06			halfway
duonvokal	obscure_root		tail	1	semivowel	1.24			semivowel
duonvoĉ	obscure_root		tail	1	inarticulately	1.18			inarticulately
duonŝerc	obscure_root		tail	1	half-joking	0.0			half-joking
duonŝtrump	obscure_root		tail	1	sock	3.61			sock
duop	shade_mismatch		tail	1	binary	3.95		double	binary, double, dual, duplex
duopol	obscure_root		tail	1	duopoly	2.44			duopoly
duopsoni	obscure_root		tail	1	duopoly	2.44			buyer’s duopoly
duorel	obscure_root		tail	1	binaural	2.37			binaural
dup	obscure_root		tail	1	dupe	2.78			dupe
dupart	obscure_root		core	3	two-part	0.0			two-part
duparti	obscure_root		tail	1	bilateral	3.72			bilateral
dupartohav	obscure_root		tail	1	bipartite	2.12			bipartite
dupaŝ	obscure_root		tail	1	two-pass	0.0			two-pass
dupied	obscure_root		extended	2	bipedal	2.42			bipedal, two-footed, two-legged
