en_lemma	decision	final_tier	note	total_freq	final_eo_word	eo_gloss	proposed_tier
blackbird	keep	2		1	merlo	blackbird	2
bouquet	keep	2		1	bukedo	bunch, bouquet	2
brass	keep	2		1	latuna	brass	2
bray	keep	2		1	iai	to bray	2
brew	keep	2		1	brasi	to brew	2
broomstick	keep	2		1	balailstango	broomstick	2
buck	keep	2		1	baŭmi	to buck (as a horse)	2
burp	keep	2		1	rukti	to belch, burp	2
cackle	keep	2		1	gaki	to cackle	2
chin	keep	2		1	mentono	chin	2
clam	keep	2		1	lamelibrankio	clam	2
clip	keep	2		1	klipo	clasp, clip	2
clothesline	keep	2		1	pendigŝnuro	clothesline	2
cutter	keep	2		1	kutro	cutter	2
doughnut	keep	2		1	benjeto	doughnut	2
easel	keep	2		1	stablo	bench, easel, workbench, support, stand	2
ecstatic	keep	2		1	ekstaza	ecstatic	2
etc	keep	2	abbreviation, not vocabulary — drop if tidy	1	k.t.p.	(kaj tiel plu) et cetera, etc.	2
excessive	keep	2		1	troa	excessive, undue	2
eyebrow	keep	2		1	brovo	brow, eyebrow	2
fleeting	keep	2		1	nedaŭra	fleeting, temporary, brief, transitory, provisional, transient	2
fondness	keep	2		1	ameco	fondness, tenderness	2
fortress	keep	2		1	fortreso	fortress	2
glacier	keep	2		1	glaĉero	glacier	2
gunshot	keep	2		1	pafilpafo	gunshot	2
hamburger	keep	2		1	hamburgro	hamburger	2
hippos	keep	2		1	hipopotamedoj	hippos	2
ignorance	keep	2		1	nescio	ignorance	2
instinctively	keep	2		1	instinkte	instinctively	2
jaw	keep	2		1	makzelo	jaw, jawbone	2
jealousy	keep	2		1	ĵaluzo	jealousy	2
jig	keep	2		1	ĝigo	jig	2
jigsaw	keep	2		1	arabeskosegilo	jigsaw	2
jumble	keep	2		1	fatraso	jumble, junk, trash	2
lipstick	keep	2		1	ruĵo	lipstick	2
lovable	keep	2		1	amebla	lovable	2
madder	keep	2		1	rubio	madder	2
magpie	keep	2		1	pigo	magpie, pica	2
mandala	keep	2		1	mandalo	mandala	2
melodious	keep	2		1	melodia	melodic, melodious, tuneful	2
mew	keep	2		1	miaŭi	to meow, mew	2
microwave	keep	2		1	mikroonda	microwave	2
miraculously	keep	2		1	mirakle	miraculously	2
mound	keep	2		1	digo	dam, dike, embankment, jetty, mound	2
nonsense	keep	2		1	blago	joke, nonsense	2
ounce	keep	2		1	unco	ounce	2
paradise	keep	2		1	edeno	paradise	2
pip	keep	2		1	pipso	pip (disease in birds)	2
plush	keep	2		1	pluŝo	plush	2
portion	keep	2		1	ono	portion, fraction, fragment, share, digit	2
ramp	keep	2		1	ramplo	ramp	2
refusal	keep	2		1	rifuzo	refusal, rejection	2
repeatedly	keep	2		1	ade	continually, continuously, repeatedly, often	2
rosemary	keep	2		1	rosmareno	rosemary	2
roughly	keep	2		1	aspre	roughly, harshly	2
sandal	keep	2		1	sandalo	sandal	2
saunter	keep	2		1	malrapidiri	to saunter	2
sketch	keep	2		1	etudo	etude, study, sketch	2
slash	keep	2		1	sabri	to hack, slash	2
smock	keep	2		1	kazako	colors, smock	2
someplace	keep	2		1	iuloke	anyplace, anywhere, someplace, somewhere	2
spew	keep	2		1	ŝurci	to spurt, gush, spew	2
sprayer	keep	2		1	aspergilo	atomizer, sprayer	2
springtime	keep	2		1	printempo	spring, springtime	2
sprint	keep	2		1	sprinti	to sprint	2
stash	keep	2		1	kasajo	stash, something hidden, something concealed	2
stethoscope	keep	2		1	stetoskopo	stethoscope	2
stinky	keep	2		1	stinka	malodorous, smelly, stinking, stinky	2
subtract	keep	2		1	depreni	to deduce, deduct, take away, take off, subtract	2
surf	keep	2		1	surfi	to (web)surf	2
surge	keep	2		1	huli	to surge	2
throne	keep	2		1	trono	throne	2
trigger	keep	2		1	ĉano	hammer (of a gun), trigger	2
triumph	keep	2		1	triumfi	to triumph	2
trolley	keep	2		1	troleo	trolley	2
ufo	keep	2		1	nifo	UFO	2
ultimate	keep	2		1	lasta	hindermost, last, ultimate	2
unhook	keep	2		1	dekroĉi	to unhook	2
