en_lemma	decision	note	eo_root_override	eo_word_override	source	reason	ts
poppy	accept	translation: flower poppy			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
ignorant	accept	translation: uneducated			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
jet	accept	translation: jet plane			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
jewel	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
surrender	accept	translation: give up			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
clown	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
flute	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
pit	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
pole	accept	translation: hole in the ground			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
hippo	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
turtle	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
chubby	accept	translation: fatty, not thin			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
cone	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
crack	accept	several meanings: sound, a split/crack, a process of breaking			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
sweetheart	accept	meaning: dear			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
frank	reject				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
mushroom	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
sweetie	accept	meaning: dear			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
volcano	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
velvet	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
tuna	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
harbor	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
spike	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
snap	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
laser	accept	translation: (lasero)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
meow	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
pigeon	accept	translation (kolombo)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
rat	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
hay	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
beep	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
ow	accept	translation: ouch			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
squash	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
faucet	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
goose	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
snowy	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
blackboard	accept	translation: board (tabulo)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
distant	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
leopard	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
