en_lemma	base_word	total_freq	band	final_eo_root	final_eo_word	eo_gloss	gloss_source	anchor_source	tier_basis	proposed_tier	review_flag	note
tidy	tidy	61	P1_name	ord	orda	ordered, tidy, organized, systematic	espdic	worksheet-proposed	freq	1		several meanings: tidy, tidy up
wag	wag	61	P2_hot	sving	svingo	wag, waggle, wave	espdic	worksheet-proposed	freq	1		dag tail wagged (svingado)
cactus	cactus	60	P1_name	kakt	kakto	cactus	espdic	worksheet-proposed	freq	1		
chew	chew	60	P2_hot	maĉ	maĉi	to chew, masticate, munch	espdic	worksheet-proposed	freq	1		
brightly	brightly	59	P2_hot	hel	hele	brightly, clearly	espdic	worksheet-proposed	freq	1		sun shined brightly
arrow	arrow	58	P2_hot	sag	sago	arrow, dart	espdic	worksheet-proposed	freq	1		
candle	candle	58	P2_hot	kandel	kandelo	candle	espdic	worksheet-proposed	freq	1		
comet	comet	58	P1_name	komet	kometo	comet	espdic	worksheet-proposed	freq	1		
eager	eager	58	P1_name	avid	avida	avid, eager, greedy	espdic	worksheet-proposed	freq	1		
messy	messy	58	P2_hot	fuŝ	fuŝa	clumsy, half-assed, ham-fisted, inept, messy	espdic	worksheet-proposed	freq	1		room was messy
ruin	ruin	58	P2_hot	pere	pereo	destruction, doom, downfall, fall, perdition, ruin, wreck	espdic	worksheet-proposed	freq	1		ruin their celebration (ruinigi)
frown	frown	57	P2_hot	sulkig	sulkigi	to furrow, wrinkle, frown	espdic	worksheet-proposed	freq	1		
turkey	turkey	57	P2_hot	meleagr	meleagro	turkey	espdic	worksheet-proposed	freq	1		
bald	bald	56	P2_hot	kalv	kalva	bald(-headed), hairless	espdic	worksheet-proposed	freq	1		bald man
icy	icy	56	P1_name	glaci	glacia	icy	espdic	worksheet-proposed	freq	1		
lick	lick	56	P2_hot	lek	leki	to lick, lap	espdic	worksheet-proposed	freq	1		
raven	raven	56	P1_name	korv	korvo	crow, raven	espdic	worksheet-proposed	freq	1		
stumble	stumble	56	P2_hot	falet	faleti	to slip, stumble, trip	espdic	worksheet-proposed	freq	1		
accidentally	accidentally	55	P2_hot	akcident	akcidente	accidentally	espdic	worksheet-proposed	freq	1		
adventurous	adventurous	55	P2_hot	risk	riska	adventurous, hazardous, risky, venturous	espdic	worksheet-proposed	freq	1		She was very adventurous and liked to explore (adventurema)
dolphin	dolphin	55	P2_hot	delfen	delfeno	dolphin	espdic	worksheet-proposed	seed	2		
lizard	lizard	55	P2_hot	lacert	lacerto	lizard	espdic	worksheet-proposed	freq	1		
maze	maze	55	P2_hot	labirint	labirinto	labyrinth, labyrinth, maze	espdic	worksheet-proposed	freq	1		
obedient	obedient	55	P2_hot	obe	obea	docile, obedient	espdic	worksheet-proposed	freq	1		
sneeze	sneeze	55	P2_hot	tern	terni	to sneeze	espdic	worksheet-proposed	freq	1		
octopus	octopus	54	P2_hot	polp	polpo	octopus	espdic	worksheet-proposed	seed	2		
barber	barber	53	P2_hot	barbir	barbiro	barber	espdic	worksheet-proposed	freq	1		
bloom	bloom	53	P1_name	flor	flori	to bloom, blossom, flower	espdic	worksheet-proposed	freq	1		translation: blossom
dinosaur	dinosaur	53	P2_hot	dinosaŭr	dinosaŭro	dinosaur	espdic	worksheet-proposed	freq	1		
dizzy	dizzy	53	P2_hot	kapturn	kapturna	dizzy	espdic	worksheet-proposed	freq	1		
pirate	pirate	53	P2_hot	pirat	pirato	pirate, sea robber, hacker	espdic	worksheet-proposed	freq	1		
chirp	chirp	52	P1_name	pep	pepi	to chirp, peep, twitter, warble, beep	espdic	worksheet-proposed	freq	1		
hive	hive	52	P2_hot	abeluj	abelujo	beehive, hive	espdic	worksheet-proposed	freq	1		several meanings: It was shaped differently than his hive and it had some interesting patterns painted on it; A honeybee was living inside the hive and was very happy.The little bee had a home called a hive.
soar	soar	52	P2_hot	sor	sori	to soar	espdic	worksheet-proposed	freq	1		
violin	violin	52	P2_hot	violon	violono	fiddle, violin	espdic	worksheet-proposed	freq	1		
buzz	buzz	51	P1_name	zum	zumi	to buzz, hum, roar (traffic)	espdic	worksheet-proposed	freq	1		
cherry	cherry	51	P2_hot	ĉeriz	ĉerizo	cherry	espdic	worksheet-proposed	seed	1		
pillow	pillow	51	P2_hot	kusen	kuseno	cushion, pillow	espdic	worksheet-proposed	freq	1		
smith	smith	51	P1_name	forĝist	forĝisto	blacksmith, smith	espdic	worksheet-proposed	freq	1		
delicate	delicate	50	P2_hot	tikl	tikla	ticklish, delicate	espdic	worksheet-proposed	freq	1		Several meanings: noticed a delicate little box (delikatan); He especially enjoyed listening and learning about the delicate way of life. 
mighty	mighty	50	P1_name	potenc	potenca	dominant, mighty, potent, powerful	espdic	worksheet-proposed	freq	1		translation: big
exclaim	exclaim	49	P2_hot	ekkri	ekkrii	to call out, cry out, exclaim, shout out	espdic	worksheet-proposed	freq	1		Excited, he exclaimed out loud
olive	olive	49	P1_name	oliv	olivo	olive	espdic	worksheet-proposed	freq	1		
squeeze	squeeze	49	P2_hot	prem	premi	to press, oppress, squeeze, grasp, push, hold down, depress, hit (a key)	espdic	worksheet-proposed	freq	1		
cushion	cushion	48	P2_hot	kusen	kuseno	cushion, pillow	espdic	worksheet-proposed	freq	1		
eraser	eraser	48	P2_hot	gum	gumo	eraser, gum	espdic	worksheet-proposed	freq	1		
higher	higher	48	P2_hot	alt	alta	high, lofty, tall, alto	espdic	curated	freq	1		
kayak	kayak	48	P1_name	kajak	kajaki	to kayak	espdic	worksheet-proposed	freq	1		
leash	leash	48	P2_hot	ligil	ligilo	band, strap, bond, tie, leash, tether, linker, link (WWW)	espdic	worksheet-proposed	freq	1		
poppy	poppy	48	P1_name	papav	papavo	poppy	espdic	worksheet-proposed	freq	1		translation: flower poppy
ignorant	ignorant	47	P1_name	malkler	malklera	dull, stupid, ignorant, illiterate, uncultured, uneducated, simple	espdic	worksheet-proposed	freq	1		translation: uneducated
jewel	jewel	47	P1_name	gem	gemo	gem, jewel	espdic	worksheet-proposed	freq	1		
juicy	juicy	47	P2_hot	suk	suka	juicy	espdic	worksheet-proposed	freq	1		
otter	otter	47	P2_hot	lutr	lutro	otter	espdic	worksheet-proposed	freq	1		
persistent	persistent	47	P2_hot	persist	persista	perennial, persistent, retentive	espdic	curated	freq	1		
surrender	surrender	47	P1_name	rezign	rezigni	to abandon, give up, resign, renounce, yield, renounce, surrender, cancel	espdic	worksheet-proposed	freq	1		translation: give up
blueberry	blueberry	46	P2_hot	mirtel	mirtelo	blueberry	espdic	curated	freq	1		
cage	cage	46	P2_hot	kaĝ	kaĝo	cage	espdic	worksheet-proposed	freq	1		
clown	clown	46	P1_name	klaŭn	klaŭno	clown	espdic	worksheet-proposed	freq	1		
crab	crab	46	P2_hot	krab	krabo	crab	espdic	worksheet-proposed	seed	2		
dull	dull	46	P2_hot	malbril	malbrila	dull (unpolished)	espdic	curated	freq	1		
flute	flute	46	P1_name	flut	fluto	flute	espdic	worksheet-proposed	freq	1		
gasp	gasp	46	P2_hot	aĥ	aĥi	to gasp, whimper	espdic	worksheet-proposed	freq	1		
glue	glue	46	P2_hot	glu	gluo	glue	espdic	curated	freq	1		
pit	pit	46	P1_name	put	puto	well, pit	espdic	worksheet-proposed	freq	1		
pole	pole	46	P1_name	fost	fosto	pole, post, stanchion, stake, upright, upright beam, upright support, vertical support, pier	espdic	worksheet-proposed	freq	1		translation: hole in the ground
shopkeeper	shopkeeper	46	P2_hot	butikist	butikisto	merchant, retailer, shopkeeper, tradesman	espdic	worksheet-proposed	freq	1		
spray	spray	46	P2_hot	ŝpruc	ŝpruci	to gush, spurt, spurt out, splash, spout, pop-out	espdic	curated	freq	1		
witch	witch	46	P2_hot	sorĉistin	sorĉistino	witch	espdic	worksheet-proposed	freq	1		
foolish	foolish	45	P2_hot	stult	stulta	foolish, silly, stupid, dumb	espdic	worksheet-proposed	freq	1		
hippo	hippo	45	P1_name	hipopotam	hipopotamo	hippo, hippopotamus	espdic	worksheet-proposed	freq	1		
leak	leak	45	P2_hot	lik	liki	to leak	espdic	worksheet-proposed	freq	1		
loyal	loyal	45	P2_hot	fidel	fidela	accurate, exact, faithful, loyal, staunch, trusty, trustworthy	espdic	worksheet-proposed	freq	1		
turtle	turtle	44	P1_name	keloni	kelonio	turtle	espdic	worksheet-proposed	freq	1		
cone	cone	41	P1_name	konus	konuso	cone	espdic	worksheet-proposed	freq	1		
crack	crack	41	P1_name	fend	fendi	to cleave, crack, split	espdic	worksheet-proposed	freq	1		several meanings: sound, a split/crack, a process of breaking
sweetheart	sweetheart	41	P1_name	amat	amato	beloved, loved one, lover, sweetheart, well-beloved	espdic	worksheet-proposed	freq	1		meaning: dear
mushroom	mushroom	40	P1_name	fung	fungo	fungus, mushroom, toadstool	espdic	worksheet-proposed	freq	1		
sweetie	sweetie	40	P1_name	dolĉul	dolĉulo	sweetie, sweetheart	espdic	worksheet-proposed	freq	1		meaning: dear
volcano	volcano	40	P1_name	vulkan	vulkano	volcano	espdic	worksheet-proposed	freq	1		
velvet	velvet	39	P1_name	velur	velura	velvet	espdic	worksheet-proposed	freq	1		
harbor	harbor	37	P1_name	haven	haveno	harbor, port, haven, seaport	espdic	worksheet-proposed	freq	1		
snap	snap	36	P1_name	klak	klako	click, snap	espdic	worksheet-proposed	freq	1		
