decision	flag	fold	en_word	anchor_root	all_roots	eo_word	eo_pos	proposed_tier	gloss_zipf	inv_tier	prod	gloss	note
	common	derived_adj	diabetic	diabet	diabet	diabeta	ADJ	3	3.45	extended	2	diabetic	derived adjective — confirm noun anchor / eo_word
	common	standalone	marquis	markiz	markiz	markizo	NOUN	3	3.45	extended	2	marquis	
	common	standalone	nipple	cic	cic	cico	NOUN	3	3.45	core	3	nipple	
	common	standalone	blackmail	ĉantaĝ	ĉantaĝ	ĉantaĝi	VERB	3	3.44	extended	2	to blackmail, extort	
	common	derived_adj	burglary	rompŝtel	rompŝtel	rompŝtela	ADJ	3	3.44	extended	2	burglary	derived adjective — confirm noun anchor / eo_word
	common	standalone	godfather	baptopatr	baptopatr	baptopatro	NOUN	3	3.44	extended	2	godfather	
	common	standalone	indifferent	duagrad	duagrad	duagrado	NOUN	3	3.44	core	3	indifferent, mediocre	
	common	standalone	jubilee	jubile	jubile	jubileo	NOUN	3	3.44	extended	2	jubilee	
	common	derived_adj	mythical	mit	mit	mita	ADJ	3	3.44	core	5	mythical	derived adjective — confirm noun anchor / eo_word
	common	standalone	roe	kapreol	kapreol	kapreolo	NOUN	3	3.44	extended	2	roe, roebuck	
	common	standalone	seam	fleb	fleb	flebo	NOUN	3	3.44	extended	2	seam, vein	
	common	standalone	solvent	solvent	solvent	solvento	NOUN	3	3.44	extended	2	solvent	
	common	standalone	chlorine	klor	klor	kloro	NOUN	3	3.43	extended	2	chlorine	
	common	derived_adj	expressive	esprimplen	esprimplen	esprimplena	ADJ	3	3.43	extended	2	expressive	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	lunatic	lunatik	lunatik	lunatika	ADJ	3	3.43	core	3	lunatic	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	lyrical	lirik	lirik	lirika	ADJ	3	3.43	core	3	lyrical	derived adjective — confirm noun anchor / eo_word
	common	standalone	stereotype	kliŝ	kliŝ	kliŝi	VERB	3	3.43	core	3	to stereotype	
	common	standalone	sterile	steril	steril	sterilo	NOUN	3	3.43	core	3	sterile	
	common	standalone	camouflage	kamufl	kamufl	kamufli	VERB	3	3.42	core	3	to camouflage	
	common	standalone	divert	forkonduk	forkonduk	forkonduki	VERB	3	3.42	extended	2	to divert	
	common	standalone	footwear	piedvest	piedvest	piedvesto	NOUN	3	3.42	extended	2	footwear	
	common	standalone	handbag	mansak	mansak	mansako	NOUN	3	3.42	extended	2	handbag	
	common	standalone	incarnation	enkarniĝ	enkarniĝ	enkarniĝo	NOUN	3	3.42	extended	2	incarnation	
	common	standalone	proton	proton	proton	protono	NOUN	3	3.42	extended	2	proton	
	common	standalone	agile	facilmov	facilmov	facilmovo	NOUN	3	3.41	extended	2	agile	
	common	derived_adj	monstrous	monstr	monstr	monstra	ADJ	3	3.41	core	3	monstrous	derived adjective — confirm noun anchor / eo_word
	common	standalone	novice	novic	novic	novico	NOUN	3	3.41	core	4	novice	
	common	derived_adj	arithmetic	aritmetik	aritmetik	aritmetika	ADJ	3	3.4	core	3	arithmetic	derived adjective — confirm noun anchor / eo_word
	common	standalone	arson	brulkrim	brulkrim	brulkrimo	NOUN	3	3.4	extended	2	arson	
	common	standalone	bourgeois	burĝ	burĝ	burĝo	NOUN	3	3.4	extended	2	bourgeois, middleclass	
	common	derived_adj	bureaucratic	burokrat	burokrat	burokrata	ADJ	3	3.4	core	4	bureaucratic	derived adjective — confirm noun anchor / eo_word
	common	standalone	tenor	tenor	tenor	tenoro	NOUN	3	3.4	core	3	tenor	
	common	standalone	conglomerate	konglomer	konglomer	konglomeri	VERB	3	3.39	core	4	to conglomerate	
	common	standalone	deacon	diakon	diakon	diakono	NOUN	3	3.39	core	4	deacon	
	common	derived_adj	heterosexual	aliseksem	aliseksem	aliseksema	ADJ	3	3.39	extended	2	heterosexual	derived adjective — confirm noun anchor / eo_word
	common	standalone	snapshot	ekrankopi	ekrankopi	ekrankopio	NOUN	3	3.39	extended	2	snapshot	
	common	derived_adj	tonic	fortigil	fortigil	fortigila	ADJ	3	3.39	extended	2	tonic, restorative	derived adjective — confirm noun anchor / eo_word
	common	standalone	abrupt	abrupt	abrupt,brusk	abrupto	NOUN	3	3.38	core	4	abrupt	2 roots collapsed: abrupt, brusk
	common	standalone	affidavit	ĵurdeklar	ĵurdeklar	ĵurdeklaro	NOUN	3	3.38	core	4	affidavit	
	common	standalone	divergent	diverĝ	diverĝ	diverĝo	NOUN	3	3.38	extended	2	divergent	
	common	standalone	gland	aden	aden	adeno	NOUN	3	3.38	core	4	gland, ade-	
	common	derived_adj	incremental	alkrement	alkrement	alkrementa	ADJ	3	3.38	extended	2	incremental	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	rhetorical	retorik	retorik	retorika	ADJ	3	3.38	extended	2	rhetorical	derived adjective — confirm noun anchor / eo_word
	common	standalone	spawn	fraj	fraj	fraji	VERB	3	3.38	extended	2	to spawn	
	common	standalone	surrogate	surogat	surogat	surogato	NOUN	3	3.38	extended	2	surrogate	
	common	derived_adj	eclectic	eklektik	eklektik	eklektika	ADJ	3	3.37	core	3	eclectic	derived adjective — confirm noun anchor / eo_word
	common	standalone	illiterate	analfabet	analfabet	analfabeto	NOUN	3	3.37	core	4	illiterate	
	common	standalone	opaque	opak	opak	opako	NOUN	3	3.37	extended	2	opaque	
	common	derived_adj	rustic	rustik	rustik	rustika	ADJ	3	3.37	extended	2	rustic	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	diagonal	diagonal	diagonal	diagonala	ADJ	3	3.36	core	4	diagonal, transverse	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	feudal	feŭd	feŭd,feŭdal	feŭda	ADJ	3	3.36	core	4	feudal	2 roots collapsed: feŭd, feŭdal; derived adjective — confirm noun anchor / eo_word
	common	standalone	fleece	preztromp	preztromp	preztrompi	VERB	3	3.36	core	3	to fleece	
	common	derived_adj	idiotic	idiot	idiot	idiota	ADJ	3	3.36	core	6	idiotic	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	pathological	patologi	patologi	patologia	ADJ	3	3.36	extended	2	pathological	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	satirical	satir	satir	satira	ADJ	3	3.36	extended	2	satirical	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	clerical	klerik	klerik,klerikal	klerika	ADJ	3	3.35	core	3	clerical	2 roots collapsed: klerik, klerikal; derived adjective — confirm noun anchor / eo_word
	common	derived_adj	grammatical	gramatik	gramatik	gramatika	ADJ	3	3.35	core	3	grammatical	derived adjective — confirm noun anchor / eo_word
	common	standalone	inquisition	inkvizici	inkvizici	inkvizicio	NOUN	3	3.35	extended	2	inquisition	
	common	standalone	sikh	sik	sik	siko	NOUN	3	3.35	extended	2	sikh	
	common	standalone	ebony	ebon	ebon	ebono	NOUN	3	3.34	core	3	ebony	
	common	derived_adj	involuntary	nevol	nevol	nevola	ADJ	3	3.34	extended	2	involuntary, unwilling	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	additive	adici	adici	adicia	ADJ	3	3.33	core	4	additive	derived adjective — confirm noun anchor / eo_word
	common	standalone	degenerate	degener	degener	degeneri	VERB	3	3.33	core	5	to degenerate, degrade, deteriorate	
	common	standalone	farce	fars	fars	farso	NOUN	3	3.33	extended	2	farce	
	common	standalone	inhabit	enloĝ	enloĝ	enloĝi	VERB	3	3.33	core	8	to inhabit, move in (dwelling)	
	common	standalone	optimize	optimumig	optimumig	optimumigi	VERB	3	3.33	core	3	to optimize, tweak	
	common	standalone	penetrating	penetr	penetr	penetra	ADJ	3	3.33	core	3	penetrating	
	common	standalone	pamphlet	pamflet	pamflet	pamfleto	NOUN	3	3.32	extended	2	pamphlet, lampoon, satire	
	common	standalone	ascending	ascend	ascend	ascenda	ADJ	3	3.31	extended	2	ascending	
	common	standalone	hydra	hidr	hidr	hidro	NOUN	3	3.31	core	3	hydra	
	common	derived_adj	hypocritical	hipokrit	hipokrit	hipokrita	ADJ	3	3.31	core	6	hypocritical	derived adjective — confirm noun anchor / eo_word
	common	standalone	indigo	indig	indig	indigo	NOUN	3	3.31	extended	2	indigo	
	common	standalone	muzzle	muzel	muzel	muzelo	NOUN	3	3.31	extended	2	muzzle, snout	
	common	standalone	overt	nekaŝ	nekaŝ	nekaŝo	NOUN	3	3.31	core	3	overt	
	common	standalone	soprano	sopran	sopran	soprano	NOUN	3	3.31	core	3	soprano	
	common	standalone	stagnant	stagn	stagn	stagno	NOUN	3	3.31	extended	2	stagnant	
	common	standalone	epidemiology	epidemiologi	epidemiologi	epidemiologio	NOUN	3	3.3	extended	2	epidemiology	
	common	derived_adj	unequal	neegal	neegal	neegala	ADJ	3	3.3	core	3	unequal	derived adjective — confirm noun anchor / eo_word
	common	standalone	bloodshed	sangoverŝ	sangoverŝ	sangoverŝa	ADJ	3	3.29	extended	2	bloodshed	
	common	standalone	cello	violonĉel	violonĉel	violonĉelo	NOUN	3	3.29	extended	2	cello, violoncello	
	common	standalone	clinch	vinkt	vinkt	vinkti	VERB	3	3.29	extended	2	to clinch, staple	
	common	standalone	occult	okult	okult	okulto	NOUN	3	3.29	core	3	occult	
	common	standalone	pediatrics	pediatri	pediatri	pediatrio	NOUN	3	3.29	extended	2	pediatrics	
	common	standalone	ardent	fervor	fervor	fervoro	NOUN	3	3.28	core	6	ardent, fervent, full of zeal, zealous	
	common	standalone	assay	titr	titr	titri	VERB	3	3.28	extended	2	to assay, titrate	
	common	standalone	degrade	degrad	degrad	degradi	VERB	3	3.28	core	3	to degrade, demote, downgrade	
	common	standalone	diffuse	difuz	difuz	difuzo	NOUN	3	3.28	extended	2	diffuse	
	common	standalone	dignified	dign	dign	digna	ADJ	3	3.28	core	4	dignified	
	common	standalone	epitome	epitom	epitom	epitomo	NOUN	3	3.28	extended	2	epitome, abridgment	
	common	standalone	grotesque	grotesk	grotesk	grotesko	NOUN	3	3.28	extended	2	grotesque, ludicrous	
	common	standalone	skid	jor	jor	jori	VERB	3	3.28	core	3	to skid	
	common	standalone	topography	topografi	topografi	topografio	NOUN	3	3.28	extended	2	topography	
	common	derived_adj	impulsive	impuls	impuls	impulsa	ADJ	3	3.27	extended	2	impulsive	derived adjective — confirm noun anchor / eo_word
	common	standalone	incense	bonodorfum	bonodorfum	bonodorfumo	NOUN	3	3.27	core	4	incense	
	common	standalone	lucid	lucid	lucid	lucido	NOUN	3	3.27	extended	2	lucid	
	common	derived_adj	parasitic	parazit	parazit	parazita	ADJ	3	3.27	extended	2	parasitic	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	sectarian	sekt	sekt	sekta	ADJ	3	3.27	core	4	sectarian	derived adjective — confirm noun anchor / eo_word
	common	standalone	apathy	letargi	letargi	letargio	NOUN	3	3.26	extended	2	apathy, drowsiness, inertness, lethargy, stupor, torpidity	
	common	standalone	foreground	antaŭplan	antaŭplan	antaŭplano	NOUN	3	3.26	extended	2	foreground	
	common	standalone	helix	heliks	heliks	helikso	NOUN	3	3.26	extended	2	helix	
	common	standalone	orb	orb	orb	orbo	NOUN	3	3.26	extended	2	orb	
	common	standalone	smallpox	variol	variol	variolo	NOUN	3	3.26	extended	2	smallpox, variola	
	common	derived_adj	sociological	sociologi	sociologi	sociologia	ADJ	3	3.26	extended	2	sociological	derived adjective — confirm noun anchor / eo_word
	common	standalone	alkaline	alkal	alkal	alkalo	NOUN	3	3.25	extended	2	alkaline	
	common	standalone	alum	alun	alun	aluno	NOUN	3	3.25	core	3	alum	
	common	derived_adj	arterial	arteri	arteri	arteria	ADJ	3	3.25	extended	2	arterial	derived adjective — confirm noun anchor / eo_word
	common	standalone	balm	balzam	balzam	balzamo	NOUN	3	3.25	core	6	balm, balsam, balmy, balsamic	
	common	standalone	inhale	inhal	inhal	inhali	VERB	3	3.25	core	4	to inhale	
	common	standalone	lament	vekri	vekri	vekrii	VERB	3	3.25	extended	2	to lament, wail, yammer	
	common	standalone	sauna	saŭn	saŭn,ŝvitban	saŭno	NOUN	3	3.25	extended	2	sauna	2 roots collapsed: saŭn, ŝvitban
	common	standalone	tabloid	klaĉgazet	klaĉgazet	klaĉgazeto	NOUN	3	3.25	extended	2	tabloid	
	common	standalone	braid	plekt	plekt	plekti	VERB	3	3.24	core	5	to braid, plait, twine, wreathe	
	common	derived_adj	conscientious	konscienc	konscienc	konscienca	ADJ	3	3.24	extended	2	conscientious, scrupulous, faithful, upright, honorable	derived adjective — confirm noun anchor / eo_word
	common	standalone	hem	orl	orl	orli	VERB	3	3.24	extended	2	to hem	
	common	derived_adj	insidious	insid	insid	insida	ADJ	3	3.24	core	4	insidious, treacherous	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	patriarchal	patriark	patriark	patriarka	ADJ	3	3.24	core	3	patriarchal	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	semifinal	antaŭfinal	antaŭfinal	antaŭfinala	ADJ	3	3.24	extended	2	semifinal	derived adjective — confirm noun anchor / eo_word
	common	standalone	stepfather	duonpatr	duonpatr	duonpatro	NOUN	3	3.24	extended	2	stepfather	
	common	standalone	whirlwind	turnvent	turnvent,kirlovent	turnvento	NOUN	3	3.24	extended	2	whirlwind	2 roots collapsed: turnvent, kirlovent
	common	derived_adj	aristocratic	aristokrat	aristokrat	aristokrata	ADJ	3	3.23	core	4	aristocratic	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	arsenic	arsen	arsen	arsena	ADJ	3	3.23	core	5	arsenic, arsenical	derived adjective — confirm noun anchor / eo_word
	common	standalone	converge	konverg	konverg	konvergi	VERB	3	3.23	extended	2	to converge	
	common	derived_adj	cryptic	kript	kript	kripta	ADJ	3	3.23	core	5	cryptic	derived adjective — confirm noun anchor / eo_word
	common	standalone	eel	angil	angil	angilo	NOUN	3	3.23	extended	2	eel	
	common	standalone	firmware	mikroprogram	mikroprogram	mikroprogramo	NOUN	3	3.23	extended	2	firmware, microprogram	
	common	standalone	imp	petolemul	petolemul	petolemulo	NOUN	3	3.23	extended	2	imp, scamp	
	common	standalone	prefix	prefiks	prefiks	prefiksi	VERB	3	3.23	extended	2	to prefix	
	common	standalone	sled	sled	sled	sledi	VERB	3	3.23	core	3	to sled	
	common	standalone	subtitle	subtitolig	subtitolig	subtitoligi	VERB	3	3.23	extended	2	to subtitle	
	common	derived_adj	abrasive	abrad	abrad,frotpurig	abrada	ADJ	3	3.22	extended	2	abrasive	2 roots collapsed: abrad, frotpurig; derived adjective — confirm noun anchor / eo_word
	common	derived_adj	frivolous	frivol	frivol	frivola	ADJ	3	3.22	core	4	frivolous	derived adjective — confirm noun anchor / eo_word
	common	standalone	galley	remŝip	remŝip	remŝipo	NOUN	3	3.22	extended	2	galley	
	common	derived_adj	homogeneous	homogen	homogen	homogena	ADJ	3	3.22	core	3	homogeneous	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	metaphysical	metafizik	metafizik	metafizika	ADJ	3	3.22	extended	2	metaphysical	derived adjective — confirm noun anchor / eo_word
	common	standalone	meteorology	meteologi	meteologi,meteorologi	meteologio	NOUN	3	3.22	extended	2	meteorology	2 roots collapsed: meteologi, meteorologi
	common	derived_adj	apostolic	apostol	apostol	apostola	ADJ	3	3.21	extended	2	apostolic	derived adjective — confirm noun anchor / eo_word
	common	standalone	backlog	retroakumul	retroakumul	retroakumuli	VERB	3	3.21	extended	2	to backlog	
	common	derived_adj	biochemical	bioĥemi	bioĥemi	bioĥemia	ADJ	3	3.21	extended	2	biochemical	derived adjective — confirm noun anchor / eo_word
	common	standalone	eloquent	elokvent	elokvent	elokvento	NOUN	3	3.21	core	3	eloquent, fluent, rhetorical	
	common	standalone	hermit	ermit	ermit	ermito	NOUN	3	3.21	extended	2	hermit, recluse	
	common	derived_adj	panoramic	panoram	panoram	panorama	ADJ	3	3.21	extended	2	panoramic	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	septic	sept	sept	septa	ADJ	3	3.21	extended	2	septic	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	symmetric	simetri	simetri	simetria	ADJ	3	3.21	core	4	symmetric, symmetrical	derived adjective — confirm noun anchor / eo_word
	common	standalone	clockwise	horloĝdirekt	horloĝdirekt	horloĝdirekto	NOUN	3	3.2	extended	2	clockwise	
	common	standalone	correlate	korelaci	korelaci	korelacii	VERB	3	3.2	extended	2	to correlate	
	common	standalone	distressing	korprem	korprem	korprema	ADJ	3	3.2	core	3	distressing, oppressing	
	common	derived_adj	equestrian	surĉeval	surĉeval	surĉevala	ADJ	3	3.2	extended	2	equestrian	derived adjective — confirm noun anchor / eo_word
	common	standalone	germ	mikrob	mikrob	mikrobo	NOUN	3	3.2	extended	2	germ, microbe	
	common	standalone	oblique	oblikv	oblikv	oblikvo	NOUN	3	3.2	core	3	oblique, slanting	
	common	derived_adj	aerobic	aerobi	aerobi	aerobia	ADJ	3	3.19	extended	2	aerobic, aerobiotic	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	algebraic	algebr	algebr	algebra	ADJ	3	3.19	core	3	algebraic	derived adjective — confirm noun anchor / eo_word
	common	standalone	augment	aŭgment	aŭgment	aŭgmento	NOUN	3	3.19	extended	2	augment	
	common	standalone	iodine	jod	jod	jodo	NOUN	3	3.19	extended	2	iodine	
	common	standalone	perverse	pervers	pervers	perverso	NOUN	3	3.19	extended	2	perverse	
	common	derived_adj	prophetic	profet	profet	profeta	ADJ	3	3.19	core	4	prophetic	derived adjective — confirm noun anchor / eo_word
	common	standalone	radiology	radiologi	radiologi	radiologio	NOUN	3	3.19	extended	2	radiology	
	common	standalone	deport	deport	deport	deporti	VERB	3	3.18	extended	2	to deport	
	common	standalone	facet	facet	facet	faceti	VERB	3	3.18	extended	2	to facet	
	common	standalone	horticulture	hortikultur	hortikultur	hortikulturo	NOUN	3	3.18	extended	2	horticulture	
	common	standalone	masturbate	onan	onan	onani	VERB	3	3.18	core	3	to masturbate	
	common	standalone	mobilize	mobiliz	mobiliz	mobilizi	VERB	3	3.18	core	5	to mobilize	
	common	derived_adj	pornographic	pornografi	pornografi	pornografia	ADJ	3	3.18	extended	2	pornographic	derived adjective — confirm noun anchor / eo_word
	common	standalone	sulphur	sulf	sulf	sulfo	NOUN	3	3.18	extended	2	sulphur	
	common	derived_adj	anecdotal	anekdot	anekdot	anekdota	ADJ	3	3.17	core	3	anecdotal	derived adjective — confirm noun anchor / eo_word
	common	standalone	autoimmune	aŭtoimun	aŭtoimun	aŭtoimuno	NOUN	3	3.17	extended	2	autoimmune	
	common	derived_adj	esoteric	esoter	esoter	esotera	ADJ	3	3.17	core	3	esoteric	derived adjective — confirm noun anchor / eo_word
	common	standalone	rectify	rektif	rektif	rektifi	VERB	3	3.17	extended	2	to rectify	
	common	standalone	dynamo	dinam	dinam	dinamo	NOUN	3	3.16	core	3	dynamo	
	common	standalone	incision	inciz	inciz	incizo	NOUN	3	3.16	core	3	incision	
	common	derived_adj	axial	aks	aks	aksa	ADJ	3	3.15	core	4	axial	derived adjective — confirm noun anchor / eo_word
	common	standalone	embankment	surbord	surbord	surbordo	NOUN	3	3.15	core	3	embankment, quay	
	common	standalone	mulberry	morus	morus	moruso	NOUN	3	3.15	extended	2	mulberry	
	common	standalone	peacekeeping	pacgard	pacgard	pacgarda	ADJ	3	3.15	core	3	peacekeeping	
	common	standalone	pharmacology	farmakologi	farmakologi	farmakologio	NOUN	3	3.15	extended	2	pharmacology	
	common	standalone	sickle	serp	serp	serpo	NOUN	3	3.15	extended	2	sickle	
	common	derived_adj	utopian	utopi	utopi	utopia	ADJ	3	3.15	core	8	utopian	derived adjective — confirm noun anchor / eo_word
	common	standalone	decipher	deĉifr	deĉifr	deĉifri	VERB	3	3.14	extended	2	to decipher, decode, decrypt	
	common	standalone	inflamed	inflam	inflam	inflama	ADJ	3	3.14	core	3	inflamed	
	common	standalone	primate	primas	primas	primaso	NOUN	3	3.14	core	3	primate	
	common	derived_adj	sedentary	hejmsid	hejmsid	hejmsida	ADJ	3	3.14	extended	2	sedentary	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	antisocial	homevit	homevit	homevita	ADJ	3	3.13	core	3	antisocial	derived adjective — confirm noun anchor / eo_word
	common	standalone	blacklist	barlist	barlist	barlisto	NOUN	3	3.13	extended	2	blacklist	
	common	standalone	lenient	indulg	indulg	indulgo	NOUN	3	3.13	core	6	lenient	
	common	standalone	toxicology	toksologi	toksologi	toksologio	NOUN	3	3.13	extended	2	toxicology	
	common	standalone	adjutant	adjutant	adjutant	adjutanto	NOUN	3	3.12	extended	2	adjutant, aide	
	common	standalone	aggravating	indignig	indignig	indigniga	ADJ	3	3.12	extended	2	aggravating	
	common	standalone	archaeologist	arkeolog	arkeolog	arkeologo	NOUN	3	3.12	extended	2	archaeologist	
	common	standalone	cipher	ĉifr	ĉifr	ĉifri	VERB	3	3.12	core	6	to cipher, encipher, encrypt, encode	
	common	standalone	cyst	cist	cist	cisto	NOUN	3	3.12	extended	2	cyst	
	common	standalone	philanthropist	filantrop	filantrop	filantropo	NOUN	3	3.12	extended	2	philanthropist	
	common	standalone	relinquish	abandon	abandon	abandoni	VERB	3	3.12	extended	2	to relinquish	
	common	derived_adj	corrosive	korod	korod	koroda	ADJ	3	3.11	core	4	corrosive	derived adjective — confirm noun anchor / eo_word
	common	standalone	handball	handbal	handbal,manpilk	handbalo	NOUN	3	3.11	extended	2	handball	2 roots collapsed: handbal, manpilk
	common	standalone	immunology	imunologi	imunologi	imunologio	NOUN	3	3.11	extended	2	immunology	
	common	standalone	mantis	mant	mant	manto	NOUN	3	3.11	extended	2	mantis	
	common	standalone	pug	mops	mops	mopso	NOUN	3	3.11	extended	2	pug	
	common	standalone	smuggle	kontraband	kontraband	kontrabandi	VERB	3	3.11	core	4	to smuggle	
	common	standalone	solder	lut	lut	luti	VERB	3	3.11	core	3	to solder	
	common	standalone	burlesque	burlesk	burlesk,travesti	burlesko	NOUN	3	3.1	core	3	burlesque	2 roots collapsed: burlesk, travesti
	common	standalone	condescending	degn	degn	degna	ADJ	3	3.1	extended	2	condescending	
	common	derived_adj	monastic	monaĥ	monaĥ	monaĥa	ADJ	3	3.1	core	8	monastic	derived adjective — confirm noun anchor / eo_word
	common	standalone	ogre	ogr	ogr	ogro	NOUN	3	3.1	extended	2	ogre	
	common	standalone	pastime	tempopasig	tempopasig	tempopasigo	NOUN	3	3.1	extended	2	pastime	
	common	standalone	accordion	akordion	akordion	akordiono	NOUN	3	3.09	extended	2	accordion	
	common	standalone	inert	inert	inert	inerto	NOUN	3	3.09	extended	2	inert	
	common	standalone	lumbar	lumb	lumb	lumbo	NOUN	3	3.09	extended	2	lumbar	
	common	standalone	propagate	propag	propag	propagi	VERB	3	3.09	extended	2	to propagate	
	common	standalone	totem	totem	totem	totemo	NOUN	3	3.09	extended	2	totem	
	common	derived_adj	heterogeneous	heterogen	heterogen	heterogena	ADJ	3	3.08	extended	2	heterogeneous	derived adjective — confirm noun anchor / eo_word
	common	standalone	irritate	irit	irit	iriti	VERB	3	3.08	extended	2	to irritate	
	common	standalone	slipper	pantofl	pantofl	pantoflo	NOUN	3	3.08	extended	2	slipper	
	common	standalone	videotape	vidbend	vidbend	vidbendo	NOUN	3	3.08	extended	2	videotape	
	common	standalone	compress	kondens	kondens	kondensi	VERB	3	3.07	core	5	to compress	
	common	standalone	drugstore	apotek	apotek	apoteko	NOUN	3	3.07	extended	2	drugstore, pharmacy, chemist	
	common	derived_adj	pedagogical	pedagogi	pedagogi	pedagogia	ADJ	3	3.07	extended	2	pedagogical	derived adjective — confirm noun anchor / eo_word
	common	standalone	polygamy	poligami	poligami	poligamio	NOUN	3	3.07	extended	2	polygamy	
	common	standalone	poplar	popl	popl	poplo	NOUN	3	3.07	core	3	poplar	
	common	derived_adj	pubic	pub	pub	puba	ADJ	3	3.07	core	3	pubic	derived adjective — confirm noun anchor / eo_word
	common	standalone	purposeful	celkonform	celkonform	celkonforma	ADJ	3	3.07	extended	2	purposeful, intentional	
	common	standalone	aloe	alo	alo	aloo	NOUN	3	3.06	core	3	aloe	
	common	derived_adj	anesthetic	anestez	anestez	anesteza	ADJ	3	3.06	core	5	anesthetic	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	hepatic	hepat	hepat	hepata	ADJ	3	3.06	core	3	hepatic	derived adjective — confirm noun anchor / eo_word
	common	standalone	incognito	inkognit	inkognit	inkognito	NOUN	3	3.06	extended	2	incognito	
	common	standalone	mime	mim	mim	mimi	VERB	3	3.06	extended	2	to mime	
	common	derived_adj	mythological	mitologi	mitologi	mitologia	ADJ	3	3.06	extended	2	mythological	derived adjective — confirm noun anchor / eo_word
	common	standalone	skirmish	tiraljor	tiraljor	tiraljori	VERB	3	3.06	extended	2	to skirmish	
	common	standalone	sumo	sumo	sumo	sumoo	NOUN	3	3.06	extended	2	sumo	
	common	derived_adj	tumultuous	tumult	tumult	tumulta	ADJ	3	3.06	core	3	tumultuous, turbulent, riotous	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	unitary	unit	unit	unita	ADJ	3	3.06	extended	2	unitary	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	xenophobic	ksenofobi	ksenofobi	ksenofobia	ADJ	3	3.06	extended	2	xenophobic	derived adjective — confirm noun anchor / eo_word
	common	standalone	assimilate	asimil	asimil	asimili	VERB	3	3.05	core	3	to assimilate, localize	
	common	standalone	beet	bet	bet	beto	NOUN	3	3.05	core	6	beet, of a beet, of beetroot; beta (β)	
	common	standalone	bigoted	bigot	bigot	bigota	ADJ	3	3.05	core	4	bigoted, fanatical	
	common	derived_adj	cannibal	kanibal	kanibal	kanibala	ADJ	3	3.05	extended	2	cannibal	derived adjective — confirm noun anchor / eo_word
	common	standalone	emir	emir	emir	emiro	NOUN	3	3.05	extended	2	emir	
	common	derived_adj	fractional	frakci	frakci	frakcia	ADJ	3	3.05	extended	2	fractional	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	incendiary	incendi	incendi	incendia	ADJ	3	3.05	extended	2	incendiary	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	parochial	paroĥ	paroĥ,parok	paroĥa	ADJ	3	3.05	core	7	parochial	2 roots collapsed: paroĥ, parok; derived adjective — confirm noun anchor / eo_word
	common	standalone	acupuncture	akupunktur	akupunktur	akupunkturo	NOUN	3	3.04	extended	2	acupuncture	
	common	standalone	coexist	kunekzist	kunekzist	kunekzisti	VERB	3	3.04	extended	2	to coexist	
	common	standalone	decadent	dekadenc	dekadenc	dekadenco	NOUN	3	3.04	core	3	decadent	
	common	derived_adj	genealogical	genealogi	genealogi	genealogia	ADJ	3	3.04	extended	2	genealogical	derived adjective — confirm noun anchor / eo_word
	common	standalone	hajj	haĝ	haĝ	haĝo	NOUN	3	3.04	extended	2	hajj	
	common	standalone	impotent	impotent	impotent	impotento	NOUN	3	3.04	core	3	impotent	
	common	standalone	winch	vinĉ	vinĉ	vinĉi	VERB	3	3.04	extended	2	to winch	
	common	standalone	babysit	infanvart	infanvart	infanvarti	VERB	3	3.03	core	4	to babysit	
	common	standalone	configure	konfigur	konfigur	konfiguro	NOUN	3	3.03	extended	2	configure	
	common	standalone	hydrate	hidrat	hidrat	hidrato	NOUN	3	3.03	extended	2	hydrate	
	common	standalone	kebab	kebab	kebab	kebabo	NOUN	3	3.03	extended	2	kebab	
	common	derived_adj	multilingual	multlingv	multlingv,plurlingv	multlingva	ADJ	3	3.03	core	3	multilingual	2 roots collapsed: multlingv, plurlingv; derived adjective — confirm noun anchor / eo_word
	common	standalone	widower	vidv	vidv	vidvo	NOUN	3	3.03	core	5	widower	
	common	derived_adj	agnostic	agnostik	agnostik	agnostika	ADJ	3	3.02	core	4	agnostic	derived adjective — confirm noun anchor / eo_word
