decision	flag	fold	en_word	anchor_root	all_roots	eo_word	eo_pos	proposed_tier	gloss_zipf	inv_tier	prod	gloss	note
	common	standalone	legion	legi	legi	legio	NOUN	3	3.86	extended	2	legion	
	common	standalone	uranium	urani	urani	uranio	NOUN	3	3.85	extended	2	uranium	
	common	standalone	volleyball	volejbal	volejbal	volejbalo	NOUN	3	3.85	extended	2	volleyball	
	common	standalone	exile	egzil	egzil	egzilo	NOUN	3	3.84	extended	2	exile	
	common	standalone	monopoly	monopol	monopol	monopolo	NOUN	3	3.84	extended	2	monopoly	
	common	derived_adj	differential	diferencial	diferencial	diferenciala	ADJ	3	3.83	core	3	differential	derived adjective — confirm noun anchor / eo_word
	common	standalone	mafia	mafi	mafi	mafio	NOUN	3	3.83	core	3	mafia	
	common	standalone	prototype	prototip	prototip	prototipo	NOUN	3	3.83	extended	2	prototype	
	common	derived_adj	vicious	malign	malign	maligna	ADJ	3	3.83	extended	2	vicious	derived adjective — confirm noun anchor / eo_word
	common	standalone	archbishop	arkiepiskop	arkiepiskop	arkiepiskopo	NOUN	3	3.82	extended	2	archbishop	
	common	standalone	dye	tinktur	tinktur	tinkturi	VERB	3	3.82	extended	2	to dye, tint	
	common	derived_adj	geological	geologi	geologi	geologia	ADJ	3	3.82	extended	2	geological	derived adjective — confirm noun anchor / eo_word
	common	standalone	maiden	debut	debut	debuto	NOUN	3	3.82	extended	2	maiden	
	common	standalone	absorb	ensorb	ensorb	ensorbi	VERB	3	3.81	core	3	to absorb	
	common	standalone	boycott	bojkot	bojkot	bojkoti	VERB	3	3.81	extended	2	to boycott	
	common	standalone	privileged	privilegi	privilegi	privilegia	ADJ	3	3.81	core	4	privileged	
	common	standalone	shah	ŝah	ŝah	ŝaho	NOUN	3	3.81	extended	2	shah	
	common	standalone	confront	konfront	konfront	konfronti	VERB	3	3.8	extended	2	to confront	
	common	standalone	bulletin	bulten	bulten	bulteno	NOUN	3	3.79	extended	2	bulletin, newsletter	
	common	standalone	gamble	vetlud	vetlud	vetludi	VERB	3	3.79	extended	2	to gamble	
	common	standalone	probable	probabl	probabl	probablo	NOUN	3	3.79	extended	2	probable	
	common	derived_adj	subjective	subjektiv	subjektiv,subjekt	subjektiva	ADJ	3	3.79	core	3	subjective	2 roots collapsed: subjektiv, subjekt; derived adjective — confirm noun anchor / eo_word
	common	derived_adj	aboriginal	aborigen	aborigen	aborigena	ADJ	3	3.78	extended	2	aboriginal	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	allergic	alergi	alergi	alergia	ADJ	3	3.78	core	3	allergic	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	ecological	ekologi	ekologi	ekologia	ADJ	3	3.78	core	3	ecological	derived adjective — confirm noun anchor / eo_word
	common	standalone	exempt	imun	imun	imuno	NOUN	3	3.78	core	3	exempt, immune	
	common	standalone	stab	ponard	ponard	ponardi	VERB	3	3.78	extended	2	to stab	
	common	derived_adj	vegetarian	vegetar	vegetar	vegetara	ADJ	3	3.78	core	4	vegetarian	derived adjective — confirm noun anchor / eo_word
	common	standalone	flint	silik	silik	siliko	NOUN	3	3.77	extended	2	flint, gravel	
	common	standalone	herd	greg	greg	grego	NOUN	3	3.77	extended	2	herd	
	common	standalone	seminar	seminari	seminari	seminario	NOUN	3	3.77	extended	2	seminar	
	common	derived_adj	theological	teologi	teologi	teologia	ADJ	3	3.77	extended	2	theological	derived adjective — confirm noun anchor / eo_word
	common	standalone	cedar	cedr	cedr	cedro	NOUN	3	3.76	extended	2	cedar, of a cedar	
	common	standalone	dispatch	depeŝ	depeŝ	depeŝi	VERB	3	3.76	extended	2	to dispatch	
	common	standalone	heath	erik	erik	eriko	NOUN	3	3.76	extended	2	heath, heather (plant)	
	common	derived_adj	neural	neŭr	neŭr	neŭra	ADJ	3	3.76	extended	2	neural	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	photographic	fotograf	fotograf	fotografa	ADJ	3	3.76	core	5	photographic	derived adjective — confirm noun anchor / eo_word
	common	standalone	ark	arke	arke	arkeo	NOUN	3	3.75	extended	2	ark	
	common	standalone	dwarf	nan	nan	nano	NOUN	3	3.75	extended	2	dwarf, midget	
	common	standalone	merge	kunfand	kunfand	kunfando	NOUN	3	3.75	core	4	merge	
	common	standalone	arrogant	arog	arog	arogo	NOUN	3	3.74	core	4	arrogant	
	common	derived_adj	ceramic	ceramik	ceramik	ceramika	ADJ	3	3.74	core	3	ceramic	derived adjective — confirm noun anchor / eo_word
	common	standalone	groove	fold	fold	foldi	VERB	3	3.74	extended	2	to groove, slot	
	common	standalone	torch	torĉ	torĉ	torĉo	NOUN	3	3.74	extended	2	torch	
	common	standalone	bankrupt	bankrot	bankrot	bankroto	NOUN	3	3.73	core	4	bankrupt	
	common	standalone	proxy	prokur	prokur	prokuro	NOUN	3	3.73	core	3	proxy	
	common	standalone	miniature	miniatur	miniatur	miniaturo	NOUN	3	3.72	extended	2	miniature	
	common	standalone	motto	mot	mot	moto	NOUN	3	3.72	extended	2	motto	
	common	derived_adj	radioactive	radioaktiv	radioaktiv	radioaktiva	ADJ	3	3.72	core	3	radioactive	derived adjective — confirm noun anchor / eo_word
	common	standalone	apex	vertic	vertic	vertico	NOUN	3	3.71	extended	2	apex, node, vertex	
